feature,rank,osm_h3_cell_id,osm_h3_cell_id_hex,lat,lon,state_fips,tract_geoid,value,p99,p999,value_over_p99,neighbor_cells_present,neighbor_median,value_over_neighbor_median
osm_building_density_per_km2,21,617733347108192255,892a134d04bffff,39.93223435586603,-75.17905143192267,42,42101003100,7138.615023209953,709.6614638710591,1737.787236617882,10.059183690587139,6,6827.386175742287,1.0455853586506447
osm_building_density_per_km2,22,617733347105832959,892a134d027ffff,39.91988293900124,-75.1593081944242,42,42101004103,7130.864962001167,709.6614638710591,1737.787236617882,10.048262904263883,6,7289.191879715389,0.9782792221240849
osm_building_density_per_km2,23,617733347125493759,892a134d153ffff,39.91734929550513,-75.15704114747544,42,42101004104,7121.6464681441375,709.6614638710591,1737.787236617882,10.035272916324077,6,6383.439340197385,1.1156441047850432
osm_building_density_per_km2,24,617733347104260095,892a134d00fffff,39.92748412531331,-75.16611080807839,42,42101002802,7110.599885045032,709.6614638710591,1737.787236617882,10.01970692653671,6,5845.641461095039,1.2163934330165085
osm_building_density_per_km2,25,617733347103473663,892a134d003ffff,39.93017634717907,-75.16417687008372,42,42101002900,7062.322475167565,709.6614638710591,1737.787236617882,9.951678137691218,6,5677.647358385643,1.24388184566215
osm_intersection_density_per_km2,1,617741509266767871,892a8a136dbffff,37.14810890053958,-80.42040149190218,51,51121021102,2807.768348867626,234.14729071110702,565.3348397559587,11.991462042291472,6,1022.4304810695628,2.7461704251328896
osm_intersection_density_per_km2,2,617664619240226815,89262b2dc23ffff,41.79219809443732,-93.52525062172258,19,19153010101,2705.414176369475,234.14729071110702,565.3348397559587,11.554326202763708,5,940.5724372637611,2.8763485609251447
osm_intersection_density_per_km2,3,617228073517449215,890d5a9a367ffff,64.84001827759744,-147.83753082679584,02,02090000700,2617.9457248684475,234.14729071110702,565.3348397559587,11.180764538926448,6,106.96043899586608,24.475831900518177
osm_intersection_density_per_km2,4,618193856239501311,8944409737bffff,30.325856042859016,-91.8195417659465,22,22099020101,2547.6134531281305,234.14729071110702,565.3348397559587,10.880388346117565,6,312.9350616924607,8.141029130292267
osm_intersection_density_per_km2,5,618200516351754239,8944a18211bffff,25.533323833816187,-80.3774388121071,12,12086010709,2411.8131288023965,234.14729071110702,565.3348397559587,10.300410145587005,6,472.7866691739063,5.101271431820455
osm_intersection_density_per_km2,6,618193856238977023,89444097373ffff,30.32480935377504,-91.8230376094407,22,22099020101,2371.196816944368,234.14729071110702,565.3348397559587,10.126945350266604,6,462.7619363446577,5.124010059414952
osm_intersection_density_per_km2,7,618194969692733439,894450cb277ffff,30.30960594542658,-87.68738187404169,01,01003011412,2294.3236500190715,234.14729071110702,565.3348397559587,9.798634197522397,6,214.5065559849685,10.69582064512679
