nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -77.2016)""",,,,374
," -77.1191)""",,,,373
," -77.1947)""",,,,373
," -77.0798)""",,,,372
," -77.276)""",,,,371
," -76.9405)""",,,,368
," -77.2801)""",,,,368
," -77.2377)""",,,,367
," -77.0038)""",,,,367
," -77.235)""",,,,367
," -77.0492)""",,,,365
250,2505,Crime Against Property,Counterfeiting/Forgery,COUNTERFEITING - PASS COUNTERFEITED,365
," -77.1048)""",,,,365
," -76.9894)""",,,,364
," -77.0491)""",,,,363
," -76.9437)""",,,,359
," -76.9439)""",,,,359
," -77.022)""",,,,359
," -77.159)""",,,,359
," -76.9802)""",,,,358
," -77.2095)""",,,,357
26A,9056,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - FAILURE TO PAY,357
11D,1117,Crime Against Person,Forcible Fondling,SEX ASSAULT - CARNAL ABUSE,353
," -77.0518)""",,,,352
," -77.2888)""",,,,352
," -77.0909)""",,,,351
," -77.0862)""",,,,350
," -77.2237)""",,,,350
," -77.0554)""",,,,350
," -77.1482)""",,,,350
," -77.1772)""",,,,348
," -76.9831)""",,,,347
," -76.981)""",,,,347
120,1201,Crime Against Property,Robbery,ROBBERY - BUSINESS-GUN,346
," -77.0223)""",,,,346
," -77.1964)""",,,,346
," -77.2342)""",,,,345
," -77.0589)""",,,,345
," -76.9494)""",,,,344
," -77.0636)""",,,,344
120,1212,Crime Against Property,Robbery,ROBBERY - CARJACKING - ARMED,342
," -77.0479)""",,,,342
," -77.0515)""",,,,341
90F,3802,Crime Against Society,"Family Offenses, NonViolent",FAMILY OFFENSE - CRUELTY TOWARD CHILD,340
," -77.2032)""",,,,339
," -77.1617)""",,,,338
," -77.1205)""",,,,338
," -77.0799)""",,,,337
," -77.2652)""",,,,337
," -77.0135)""",,,,336
," -76.9918)""",,,,336
," -77.1325)""",,,,335
," -77.0917)""",,,,335
," -77.273)""",,,,334
," -77.2165)""",,,,334
," -77.1508)""",,,,333
," -76.9895)""",,,,333
," -77.0031)""",,,,332
," -77.1522)""",,,,332
," -77.0628)""",,,,332
," -77.0865)""",,,,331
," -77.0633)""",,,,331
," -77.2353)""",,,,330
," -77.0077)""",,,,330
