offense_desc,offense,nature_of_call,geocodescore,source_file_uri
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.51 Fraudulent Use/Poss of Id Information,26C,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2009/00000000.parquet
PC 32.31 Credit/Debit Card Abuse,26B,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 22.01(A)(1) Assault Causes B/I 13B SIMPLE ASSAU,13B,ASSAULT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info 26F Identity Th,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
GC 088 Assault by Offensive Contact or Threat 13B ,13B,ASSAULT C,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 28.03(B)(2) Crim Misc>$50<$500 290 DESTRUCTIVE/,290,CRIMINAL MISCHIEF,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,IDENTITY THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 38.02 Failure to Identify,90Z,PENALCODE,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 32.21(C) Forgery 250 FORGERY/COUNTERFEITING 258,250,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 31.03 Theft- Auto parts/accessories only/gas 23,23G,BURGLARY RESIDENTIAL,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2010/00000000.parquet
