description,row_count
"ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN",25
MANU/DELIVER:AMPHETAMINES,25
SALE/DEL DRUG PARAPHERNALIA,24
AGG PRO.EMP: OTHER FIREARM,23
VIOLATION OF SUMMARY CLOSURE,23
CONTRIBUTE TO THE CRIMINAL DELINQUENCY OF CHILD,22
INDECENT SOLICITATION OF AN ADULT,22
ARSONIST - ANNUAL REGISTRATION,22
BRIBERY,22
SOLICITING FOR A PROSTITUTE,20
ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT,20
GAME/CARDS,19
AGGRAVATED OF A UNBORN CHILD,19
AGG CRIM SEX ABUSE - VIC 13-16 YOA - OFF 5 YR OLDER PENETRAT,19
UNIDENTIFIABLE RECORDING SOUND,19
ATTEMPT AGG: KNIFE/CUT INSTR,19
ATTEMPT POSSESSION CANNABIS,19
PATRONIZING A PROSTITUTE,18
POSS: LOOK-ALIKE DRUGS,18
SEXUAL RELATIONS IN FAMILY,18
POS: EXPLOSIVE/INCENDIARY DEV,17
SEX RELATION IN FAMILY,17
MANUFACTURE / DELIVER - AMPHETAMINES,17
ARSONIST: ANNUAL REGISTRATION,17
OFFICIAL MISCONDUCT,16
DEFACE IDENT MARKS OF FIREARM,16
CONT SUBS:FAIL TO MAINT RECORD,15
MINOR DISSEMINATE INDECENT DEPICT ANOTHER MINOR ELEC DEVICE,15
MANUFACTURE / DELIVER - SYNTHETIC MARIJUANA,15
PBLC AID WIRE AND MAIL FRAUD- UNLAW OBT PBLC AID,15
DELIVER CANNABIS TO PERSON <18,14
AGGRAVATED PO: OTHER FIREARM,14
DELIVER CANNABIS TO PERSON UNDER 18,14
LIBRARY VANDALISM,14
SOLICITATION OF A SEXUAL ACT,13
AGG: FINANCIAL ID THEFT,13
PLACE VIDEO RECORD/TRANSMIT DEVICE - RESTROOM/TAN SALON/CHNG,13
SEX OFFENDER - PROHIBITED ZONE,13
ARMED VIOLENCE,12
UNLAWFUL SALE - DELIVERY OF FIREARM AT SCHOOL,11
"FALSE INFO - CERTIFICATION, LICENSING CRIMINAL BACKGROUND EM",11
MANU/DELIVER:LOOK-ALIKE DRUG,11
CRIM SEX ABUSE-PENETRATE - OFF < 5 YRS OLDER - VIC 13-16 YOA,11
INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,11
DEFACE IDENTIFICATION MARKS OF FIREARM,11
UNAUTH VIDEO RECORD/TRANSMIT LIVE VIDEO UNDER/THRU CLOTHES,11
INTERFERE W/ EMERGENCY EQUIP,10
SELL / ADVERTISE FIREWORKS,10
DISTRIBUTION PHOTOGRAPH DEPICTING SEX ORGANS OF CHILD,10
LIBRARY THEFT,9
DEL CONT SUBS TO PERSON <18,9
SALE TOBACCO PRODUCTS TO MINOR,9
UNLAWFUL SALE - OTHER FIREARM,9
INTERFERE WITH EMERGENCY EQUIPMENT,9
POSSESS - LOOK-ALIKE DRUGS,9
BIGAMY,9
