report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,source_file_uri
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Driving While Under The Influence Of Alcohol,Other,II,Other Miscellaneous,65050,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,"Malicious Mischief, Breaking Windows",Vandalism,IS,Malicious Mischief,28100,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,IS,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,False Personation to Receive Money or Property,Fraud,II,Fraud,09029,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Supplement,"Theft, Other Property, $50-$200",Larceny Theft - Other,IS,Larceny Theft,06372,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Traffic Violation Arrest,Traffic Violation Arrest,II,Traffic Violation Arrest,65010,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, Shoplifting, $50-$200",Larceny Theft - Shoplifting,II,Larceny Theft,06362,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Miscellaneous Investigation,Miscellaneous Investigation,II,Miscellaneous Investigation,68020,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Malicious Mischief, Vandalism to Property",Vandalism,II,Malicious Mischief,28150,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, Other Property, $50-$200",Larceny Theft - Other,II,Larceny Theft,06372,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,False Personation to Receive Money or Property,Fraud,II,Fraud,09029,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Malicious Mischief, Vandalism to Property",Vandalism,II,Malicious Mischief,28150,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Malicious Mischief, Vandalism to Vehicle",Vandalism,II,Malicious Mischief,28160,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Malicious Mischief, Vandalism to Property",Vandalism,II,Malicious Mischief,28150,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Burglary, Non-residential, Forcible Entry",Burglary - Other,II,Burglary,05151,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, $50-$200",Larceny - From Vehicle,II,Larceny Theft,06242,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Battery,Simple Assault,II,Assault,04134,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Theft, From Building, >$950",Larceny Theft - From Building,II,Larceny Theft,06304,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Battery with Serious Injuries,Simple Assault,II,Assault,04136,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,"Stolen Property, Possession with Knowledge, Receiving",Stolen Property,II,Stolen Property,11012,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Coplogic Initial,"Theft, From Locked Vehicle, >$950",Larceny - From Vehicle,II,Larceny Theft,06244,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial Supplement,Courtesy Report,Courtesy Report,IS,Courtesy Report,68030,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Initial,Probation Search,Other,II,Warrant,62071,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
Vehicle Initial,"Vehicle, Stolen, Auto",Motor Vehicle Theft,VI,Motor Vehicle Theft,07021,s3://crimenet-data/raw_files/landing/san_francisco/occurrence_year=2018/part-00000-tid-41157278844455048-dc551bc0-6475-45a6-938d-18a9c6564a0b-937-1.c000.snappy.parquet
