report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Vehicle Initial,Traffic Violation Arrest,Traffic Violation Arrest,VI,Traffic Violation Arrest,65010,17
Initial,Public Transit Crimes - Infractions,Other,II,Other Miscellaneous,27031,17
Vehicle Initial,"Embezzlement, Grand Theft",Embezzlement,VI,Embezzlement,10015,17
Initial,"Firearm, Tampering With Marks",Weapons Offense,II,Weapons Carrying Etc,12140,17
Vehicle Initial,Methamphetamine Offense,Drug Violation,VI,Drug Offense,16650,17
Initial Supplement,"Robbery, Bank, W/ Other Weapon",Robbery - Commercial,IS,Robbery,03063,17
Vehicle Initial,"Burglary Tools, Possession Of",Other,VI,Other Miscellaneous,27130,17
Initial Supplement,State Code Misdemeanor (general),Other,IS,Other Miscellaneous,27300,17
Initial,"Assault, Mayhem, W/ Knife",Aggravated Assault,II,Assault,04062,17
Vehicle Supplement,Evading a Police Officer Recklessly,Other,VS,Other Miscellaneous,27175,17
Initial,"House of Prostitution, Keeping or Residing in",Prostitution,II,Prostitution,13010,17
Vehicle Initial,Evading a Police Officer Recklessly,Other,VI,Other Miscellaneous,27175,17
Initial,"Death, Accidental",Other,II,Other,61010,17
Initial Supplement,"Robbery, Comml. Establ. W/ Weapon",Robbery - Commercial,IS,Robbery,03023,17
Initial Supplement,"Disturbing The Peace, Fighting",Disorderly Conduct,IS,Disorderly Conduct,19024,17
Initial,"Robbery,  ATM, Other Weapon",Robbery - Other,II,Robbery,03093,17
Initial,Located Property,Non-Criminal,II,Non-Criminal,73001,17
Initial Supplement,Carjacking with a Knife,Robbery - Carjacking,IS,Robbery,03082,16
Initial,"Permit Violation, Entertainment",Other,II,Other Offenses,30007,16
Initial,"Robbery, Residence, W/ Knife",Robbery - Commercial,II,Robbery,03052,16
Initial Supplement,"Stolen Access Card, Possession",Stolen Property,IS,Stolen Property,11013,16
Initial Supplement,"Alcohol, Consuming In Public View",Other,IS,Other Offenses,30155,16
Initial,Falsifying Judicial & Public Records & Documents,Forgery And Counterfeiting,II,Forgery And Counterfeiting,09175,16
Initial,Maintain Premise Where Narcotics Are Sold/used,Drug Violation,II,Drug Offense,16705,16
Vehicle Supplement,"Burglary, Hot Prowl, Forcible Entry",Burglary - Hot Prowl,VS,Burglary,05081,16
Initial,"Weapon, Possessing in Public Building or Open Meeting",Weapons Offense,II,Weapons Carrying Etc,12161,16
Initial Supplement,Firearm with Altered Identification,Weapons Offense,IS,Other Miscellaneous,27122,16
Coplogic Supplement,"Theft, Bicycle, >$950",Larceny Theft - Bicycle,IS,Larceny Theft,06314,16
Initial Supplement,Bomb Threat or False Report of Bomb,Other,IS,Other Miscellaneous,26105,16
Initial Supplement,"Assault, Att. Homicide, W/ Force",Aggravated Assault,IS,Assault,04024,16
Initial,"Vehicle, Recovered, Other Vehicle",Recovered Vehicle,II,Recovered Vehicle,07046,16
Vehicle Supplement,Found  Property,Non-Criminal,VS,Non-Criminal,72000,16
Initial,"Robbery, Att., Chain Store, W/ Knife",Robbery - Commercial,II,Robbery,03442,16
Vehicle Initial,"Theft, From Building, >$950",Larceny Theft - From Building,VI,Larceny Theft,06304,16
Initial,"Vehicle, Seizure Order Service",,II,,07060,16
Vehicle Supplement,"Auto, Grand Theft of",Motor Vehicle Theft,VS,Motor Vehicle Theft?,07027,16
Initial,Amphetamines Offense,Drug Violation,II,Drug Offense,16640,16
Initial Supplement,"Robbery, Att., W/ Other Weapon",Robbery - Other,IS,Robbery,03473,16
Initial Supplement,"Driving, Reckless, with Injury",Other,IS,Other Miscellaneous,65014,15
Initial,"Fireworks, Throw at Person or Discharge in Crowd",Other,II,Other Miscellaneous,27185,15
Vehicle Initial,Probation Violation,Other,VI,Other Miscellaneous,26170,15
Initial,"Shooting, Accidental",Non-Criminal,II,Non-Criminal,51030,15
Initial Supplement,"Arson, Attempted",Arson,IS,Arson,26029,15
Initial,"Loitering, Obstructing",Loitering,II,Disorderly Conduct,19075,15
Initial,"Indecent Exposure, W/ Prior Conviction",Sex Offense,II,Sex Offense,14045,15
Initial,"Stolen Computer, Possession",Stolen Property,II,Stolen Property,11015,15
Initial,"Prescription, Forge Or Alter (11368 H&S)",Drug Violation,II,Drug Offense,16720,15
Initial,"Assault, Aggravated, W/ Semi Auto",Aggravated Assault,II,Assault,04091,15
Initial,Assault on School Employee,Intimidation,II,Disorderly Conduct,19080,15
Vehicle Supplement,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Other,VS,Other Miscellaneous,27170,15
Vehicle Initial,"Theft, From Locked Vehicle, $200-$950",Larceny - From Vehicle,VI,Larceny Theft,06243,15
Initial,"Robbery, Att., Comm. Establ., W/ Gun",Robbery - Commercial,II,Robbery,03421,15
Vehicle Initial,"Theft, Other Property, >$950",Larceny Theft - Other,VI,Larceny Theft,06374,15
Initial,"Counterfeit/Forgery, Poss Drivers Lic Or Id Card",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09125,14
Initial,"Burglary, Apt Under Constr., Att. Forcible",Burglary - Residential,II,Burglary,05112,14
Initial Supplement,"Defrauding Providers of Food, Fuel, Services, or Accommodations",Fraud,IS,Other Miscellaneous,27010,14
Initial Supplement,"Robbery, Att., Comm. Establ., W/ Gun",Robbery - Commercial,IS,Robbery,03421,14
Initial,Opium Offense,Drug Violation,II,Drug Offense,16610,14
Initial Supplement,"Burglary, Safe, Other",Burglary - Other,IS,Burglary,05271,14
Initial Supplement,Theft of Utility Services,Larceny Theft - Other,IS,Larceny Theft,06396,14
Initial,"Rail Transit, Entering, Remaining, or Hindering Operation of",Other,II,Other Miscellaneous,27030,14
Vehicle Initial,"Driving, License Suspended or Revoked",Other,VI,Other Miscellaneous,65016,14
Initial Supplement,"Methadone, Possession For Sale",Drug Violation,IS,Drug Offense,16632,14
Initial Supplement,Aided Case -Property for Destruction,Non-Criminal,IS,Non-Criminal,51041,14
Initial,"Assault, Att. Mayhem, W/ Knife",Aggravated Assault,II,Assault,04052,14
Initial,"Vehicle, Disabled Placard Violation",Other,II,Other Miscellaneous,07206,13
Initial Supplement,"Driving, Speeding",Other,IS,Other Miscellaneous,65030,13
Initial Supplement,"Robbery, Att., Street or Public Place, W/ Knife",Robbery - Street,IS,Robbery,03412,13
Initial Supplement,"Aided case, Naloxone Deployment",Non-Criminal,IS,Non-Criminal,51050,13
Initial,Solicits Lewd Act,Prostitution,II,Prostitution,13110,13
Initial,"Embezzlement, Grand Theft By Brokers/Agents",Embezzlement,II,Embezzlement,10025,13
Initial Supplement,"Robbery,  ATM, Force, Att.",Robbery - Other,IS,Robbery,03494,13
Initial,"Theft, Coin Operated Machine, >$950",Larceny Theft - Other,II,Larceny Theft,06344,13
Initial,"Assault, Att. Mayhem, W/ Other Weapon",Aggravated Assault,II,Assault,04053,13
Initial,Unemployment Insurance Act Violation,Other,II,Other Miscellaneous,27220,13
Initial Supplement,"Assault, Mayhem, W/ Force",Aggravated Assault,IS,Assault,04064,13
Initial,Auto Impounded,,II,,64100,13
Initial,"Suicide By Jumping, Att.",Suicide,II,Suicide,60070,13
Initial Supplement,"Controlled Substance Violation, Loitering for",Drug Violation,IS,Drug Offense,16645,13
Initial,"Counterfeiting, Coins Or Notes",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09210,13
Initial Supplement,Federal Law Violation (general),Other,IS,Other Offenses,31000,13
Initial,"Demonstration, Video Evidence, Misc Investigation",Other,II,Miscellaneous Investigation,68021,13
Initial,"Theft, Motorcycle Strip, $200-$950",Larceny - Auto Parts,II,Larceny Theft,06213,13
Initial Supplement,Vandalism or Graffiti on or within 100 ft of Highway,Vandalism,IS,Malicious Mischief,28164,13
Vehicle Supplement,"Burglary, Apartment House, Forcible Entry",Burglary - Residential,VS,Burglary,05011,13
Initial Supplement,"Robbery, Att., Bank, W/ Other Weapon",Robbery - Commercial,IS,Robbery,03463,13
Initial,"Opium, Possession For Sale",Drug Violation,II,Drug Offense,16612,13
Initial,Real Estate Fraud,Fraud,II,Fraud,09060,13
Initial,"Delivered Mail, Damage or Destruction of",Vandalism,II,Malicious Mischief,28050,13
Initial,"Sex Offender, Misc. Investigation",,II,,14024,13
Vehicle Supplement,"Driving, License Suspended or Revoked",Other,VS,Other Miscellaneous,65016,13
Initial,Throwing Injurious Substance on Highway,Other Offenses,II,Other Offenses,68057,13
Initial,"Manslaughter, Vehicular",Manslaughter,II,Homicide,01160,13
Vehicle Initial,"Burglary, Hot Prowl, Forcible Entry",Burglary - Hot Prowl,VI,Burglary,05081,12
Initial Supplement,"Robbery, Bank, W/ Gun",Robbery - Commercial,IS,Robbery,03061,12
Initial Supplement,"Assault, Mayhem, W/ Other Weapon",Aggravated Assault,IS,Assault,04063,12
Initial,Suicide By Asphyxiation,Suicide,II,Suicide,60120,12
Initial,"Telephone or Telegraph Message, Sending False",Fraud,II,Fraud,09163,12
Initial,"Firefighter, Interfering with",Other,II,Other Miscellaneous,27082,12
Initial Supplement,Suspicious Package,Suspicious Package,IS,Suspicious,12008,12
Initial Supplement,"Firearm, Negligent Discharge",Aggravated Assault,IS,Assault,04080,12
Initial Supplement,"Marijuana, Transporting",Drug Violation,IS,Drug Offense,16060,12
Initial Supplement,"Extortion, Attempted",Extortion-Blackmail,IS,Other Miscellaneous,26040,12
Initial,"Destructive Device, Possession",Weapons Offense,II,Weapons Offense,12065,12
Initial Supplement,"Assault, Mayhem, W/ Knife",Aggravated Assault,IS,Assault,04062,12
Vehicle Initial,"Burglary, Residence, Forcible Entry",Burglary - Residential,VI,Burglary,05041,12
Initial Supplement,Real Estate Fraud,Fraud,IS,Fraud,09060,12
Initial,"Dog or Cat, Abandonment of",Other,II,Non-Criminal,64017,12
Vehicle Supplement,"Vehicle Registration, False Evidence of",Forgery And Counterfeiting,VS,Forgery And Counterfeiting,07200,12
Initial,Service of Documents Related to a Civil Drug Abatement and/or Public Nuisance Action,,II,,75011,12
Initial,Sales of Cocaine Base/Schoolyard Trafficking Act Violation,Drug Violation,II,Drug Offense,16629,12
Initial,"Robbery,  ATM, Knife, Att.",Robbery - Other,II,Robbery,03492,12
Initial,Soliciting to Visit House Of Prostitution,Prostitution,II,Prostitution,13070,12
Vehicle Supplement,"Theft, Bicycle, >$950",Larceny Theft - Bicycle,VS,Larceny Theft,06314,12
Initial Supplement,"Injuring Phone, Cable TV, or Other Line",Other,IS,Other Miscellaneous,26120,12
Initial,"Vehicle, Rental, Failure to Return",Embezzlement,II,Embezzlement,07056,12
Initial Supplement,"Fireworks, Possession of any within SF,  incl. ""Safe & Sane""""""",Other,IS,Other Miscellaneous,27140,12
Initial Supplement,"Theft, Vehicle Strip, Attempted",Larceny - Auto Parts,IS,Larceny Theft,06230,12
Initial,"Robbery, Att., Residence, W/ Gun",Robbery - Residential,II,Robbery,03451,12
Initial Supplement,"Burglary, Vehicle, Att. (Arrest made)",Theft From Vehicle,IS,Larceny Theft,05015,12
Initial,"Amphetamine, Possession For Sale",Drug Violation,II,Drug Offense,16642,12
Initial Supplement,"Assault, Aggravated, W/ Semi Auto",Aggravated Assault,IS,Assault,04091,12
Initial Supplement,"Fire Alarm, False",Other,IS,Malicious Mischief,28080,12
Initial,"Theft, Coin Operated Machine, $200-$950",Larceny Theft - Other,II,Larceny Theft,06343,11
Initial Supplement,"Vandalism or Graffiti Tools, Possession",Vandalism,IS,Malicious Mischief,28166,11
Vehicle Initial,"Vehicle, Tampering",Vandalism,VI,Vandalism,07100,11
Initial,"Robbery, Att., Chain Store, W/ Gun",Robbery - Commercial,II,Robbery,03441,11
Initial,"Theft, Drunk Roll, $50-$200",Larceny Theft - Other,II,Larceny Theft,06122,11
Initial Supplement,"Driving, Failure To Heed Red Light And Siren",Other,IS,Other Miscellaneous,65040,11
Initial Supplement,"Homicide, W/ Sharp Object",Homicide,IS,Homicide,01002,11
Initial,"Weapon, Assault, Registration or Transfer Violation",Weapons Offense,II,Weapons Carrying Etc,12172,11
Vehicle Initial,"Resisting, Delaying, or Obstructing  Peace Officer Duties",Other,VI,Other Miscellaneous,27170,11
Initial Supplement,"Civil Sidewalks, Warning",Other,IS,Civil Sidewalks,64001,11
Initial,Defrauding Of Vehicle Repairman,Fraud,II,Other Miscellaneous,27020,11
Initial,"Theft, Purse Snatch, <$50",Larceny Theft - Purse Snatch,II,Larceny Theft,06131,11
Initial Supplement,"Fireworks, Exploding",Other,IS,Other Miscellaneous,27145,11
Initial,"Assault, Aggravated, On Police Officer, W/ Knife",Aggravated Assault,II,Assault,04072,11
Initial,"Burglary, Hotel Under Constr., Forcible Entry",Burglary - Residential,II,Burglary,05131,11
Initial Supplement,"Access Card or Signature, Forgery of",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09110,11
Vehicle Initial,Arson of Vehicle,Arson,VI,Arson,26031,11
Vehicle Supplement,"Burglary, Non-residential, Forcible Entry",Burglary - Other,VS,Burglary,05151,11
Initial,"Firearm Transfer, Violation",Weapons Offense,II,Weapons Offense,12040,11
Initial Supplement,"Burglary, Warehouse, Unlawful Entry",Burglary - Commercial,IS,Burglary,05063,11
Initial,Suicide By Laceration/Stabbing,Suicide,II,Suicide,60180,11
Initial Supplement,False Report of Emergency,Other,IS,Other Miscellaneous,27068,11
Initial Supplement,Solicits For Act Of Prostitution,Prostitution,IS,Prostitution,13060,11
Initial Supplement,"Access Card Counterfeiting Machinery, Possession of",Fraud,IS,Fraud,09330,11
Initial Supplement,"Checks, Making or Uttering with Insufficient Funds",Fraud,IS,Fraud,09030,11
Initial Supplement,"Weapon, Deadly, Carrying with Intent to Commit Assault",Weapons Offense,IS,Weapons Carrying Etc,12167,11
Vehicle Initial,"Burglary, Non-residential, Unlawful Entry",Burglary - Other,VI,Burglary,05153,11
Initial,Kidnapping during Carjacking,Kidnapping,II,Other Miscellaneous,26149,11
Initial,"School, Disrupt Activities",Disorderly Conduct,II,Disorderly Conduct,19015,10
Vehicle Initial,"Access Card, incl. Credit, Phone, ATM, Fraudulent Use of",Fraud,VI,Fraud,09320,10
Vehicle Initial,"Burglary, Other Bldg., Forcible Entry",Burglary - Other,VI,Burglary,05071,10
Initial,Theft of Written Instrument,Larceny Theft - Other,II,Larceny Theft,06395,10
Initial,"Embezzlement, Grand Theft Leased Property",Embezzlement,II,Embezzlement,10065,10
Coplogic Supplement,Forgery & Counterfeiting (general),Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09262,10
Initial Supplement,Accessory or Aid Or Harbor Felon,Other,IS,Other Miscellaneous,26020,10
Initial Supplement,"Death Report, Natural Causes",Other,IS,Other,61040,10
Initial Supplement,"Assault, Aggravated, On Police Officer, W/ Knife",Aggravated Assault,IS,Assault,04072,10
Initial,Homicide,Homicide,II,Homicide,01000,10
Initial,"Theft, Coin Operated Machine, $50-$200",Larceny Theft - Other,II,Larceny Theft,06342,10
Initial Supplement,"Heroin, Sales",Drug Violation,IS,Drug Offense,16120,10
Initial,"Theft, Coin Operated Machine, <$50",Larceny Theft - Other,II,Larceny Theft,06341,10
Initial,"Interfering, W/ Police Officer",Other,II,Other Miscellaneous,27080,10
Initial Supplement,"Vehicle, Recovered, Mobile Home or House Trailer",Recovered Vehicle,IS,Recovered Vehicle,07044,10
Vehicle Supplement,Carjacking with a Knife,Robbery - Carjacking,VS,Robbery,03082,10
Initial,"Weapon, Taking or Attempting to Take from Peace Officer",Other,II,Other Miscellaneous,26213,10
Vehicle Initial,"Vehicle, Stolen, Attempted",Motor Vehicle Theft (Attempted),VI,Motor Vehicle Theft,07051,10
Vehicle Initial,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,VI,Larceny Theft,06224,10
Initial Supplement,"Rape, Assault To, W/ Force",Rape - Attempted,IS,Rape,02104,10
Initial Supplement,"False Claims, Presenting to Government",Fraud,IS,Fraud,09173,10
Initial,"Heroin, Transportation",Drug Violation,II,Drug Offense,16130,10
Initial,"Permit Violation, Sidewalk Sales",Other,II,Other Offenses,30006,10
Initial,"Aerosol Container; Sale, Purchase or Possession of",Vandalism,II,Malicious Mischief,28168,9
Initial Supplement,"Burglary, Apt Under Constr., Forcible Entry",Burglary - Residential,IS,Burglary,05111,9
Initial Supplement,Firearm Possession in School Zone,Weapons Offense,IS,Disorderly Conduct,19083,9
Initial Supplement,"Death, Accidental",Other,IS,Other,61010,9
Initial,"Theft, Motorcycle Strip, >$950",Larceny - Auto Parts,II,Larceny Theft,06214,9
Initial Supplement,"Robbery, Att., Chain Store, W/ Gun",Robbery - Commercial,IS,Robbery,03441,9
Vehicle Initial,"Vehicle, Recovered, Mobile Home or House Trailer",Recovered Vehicle,VI,Recovered Vehicle,07044,9
Initial,"Letters, Opening Sealed",Other,II,Malicious Mischief,28170,9
Initial Supplement,Loitering for Purpose of Prostitution,Prostitution,IS,Prostitution,13075,9
Initial Supplement,"Theft, Pickpocket, <$50",Larceny Theft - Pickpocket,IS,Larceny Theft,06111,9
Initial Supplement,"Theft, False Pretenses, Misd.",Fraud,IS,Fraud,10120,9
Initial,Accessory or Aid Or Harbor Felon,Other,II,Other Miscellaneous,26020,9
Initial,"Robbery, Att., Bank, W/ Gun",Robbery - Commercial,II,Robbery,03461,9
Initial,"Civil Rights, incl. Injury, Threat, or Damage (Hate Crimes)",Intimidation,II,Disorderly Conduct,19053,9
Coplogic Supplement,"Access Card or Signature, Forgery of",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09110,9
Vehicle Supplement,"Burglary, Non-residential, Unlawful Entry",Burglary - Other,VS,Burglary,05153,9
Initial Supplement,"Destructive Device, Possession",Weapons Offense,IS,Weapons Offense,12065,9
Vehicle Initial,Conspiracy,Other,VI,Other Miscellaneous,26080,9
Initial,"Bathroom Hole, Looking through",Sex Offense,II,Sex Offense,14042,9
Initial Supplement,"Phone Calls, Harassing, to 911",Other,IS,Malicious Mischief,28136,9
Coplogic Supplement,"Theft, Bicycle, $200-$950",Larceny Theft - Bicycle,IS,Larceny Theft,06313,9
Initial Supplement,"Sex Offender, Misc. Investigation",,IS,,14024,9
Initial Supplement,"Kidnapping, Attempted (Adult victim)",Kidnapping,IS,Other Miscellaneous,26143,9
Initial Supplement,"Methamphetamine, Transportation",Drug Violation,IS,Drug Offense,16656,9
Vehicle Supplement,Carjacking with a Dangerous Weapon,Robbery - Carjacking,VS,Robbery,03083,9
Initial Supplement,"Assault, Aggravated, On Police Officer, W/ Gun",Aggravated Assault,IS,Assault,04093,9
Initial,"Burglary, Hotel Room, Att. Forcible Entry",Burglary - Residential,II,Burglary,05032,9
Initial,"Theft, Short Change",Fraud,II,Fraud,10140,9
Initial Supplement,"Fire, Unlawfully Causing",Arson,IS,Arson,26039,9
Vehicle Initial,"Traffic Collision, Hit & Run, Property Damage",Traffic Collision - Hit & Run,VI,Traffic Collision,68060,9
Initial Supplement,"Machine Gun or Sawed-off Shotgun, Possession",Weapons Offense,IS,Weapons Carrying Etc,12110,9
Vehicle Initial,"Theft, Boat",,VI,,06377,9
Initial Supplement,Impersonating A Police Officer,Other,IS,Other Miscellaneous,27070,9
Vehicle Initial,"Robbery, W/ Gun",Robbery - Other,VI,Robbery,03071,9
Initial,Disturbing Religious Meetings,Disorderly Conduct,II,Disorderly Conduct,19025,9
Initial,"Financial Statements, False",Fraud,II,Fraud,09167,8
Initial Supplement,"Air Gun, Possession",Other,IS,Other Offenses,30140,8
Initial Supplement,"Robbery, Service Station, W/ Gun",Robbery - Commercial,IS,Robbery,03031,8
Initial,Loitering Around Public Toilet For Lewd Act,Disorderly Conduct,II,Disorderly Conduct,13120,8
Initial Supplement,Riot,Disorderly Conduct,IS,Disorderly Conduct,19031,8
Vehicle Supplement,"Theft, From Building, >$950",Larceny Theft - From Building,VS,Larceny Theft,06304,8
Vehicle Supplement,"License Plate, Lost",Other Offenses,VS,Other Offenses,71010,8
Initial Supplement,Threatening School or Public Employee,Intimidation,IS,Other Miscellaneous,26210,8
Vehicle Initial,"Embezzlement, Grand Theft Leased Property",Embezzlement,VI,Embezzlement,10065,8
Initial,"Drug Lab Apparatus, Possession",Drug Violation,II,Drug Offense,16712,8
Initial Supplement,"Burglary, Safe,  Residence",Burglary - Residential,IS,Burglary,05241,8
Initial Supplement,Suicide By Firearms,Suicide,IS,Suicide,60150,8
Initial,Assault to Commit Mayhem or Specific Sex Offenses,Aggravated Assault,II,Assault,04145,8
Initial Supplement,"Stolen Electronics, Possession",Stolen Property,IS,Stolen Property,11016,8
Initial,"Robbery,  ATM, Gun, Att.",Robbery - Other,II,Robbery,03491,8
Initial,Opium Derivative Offense,Drug Violation,II,Drug Offense,16310,8
Initial Supplement,Unlawful Assembly,Loitering,IS,Disorderly Conduct,19100,8
Initial,"Robbery, Att., Residence, W/ Force",Robbery - Residential,II,Robbery,03454,8
Initial,Falsification of Medical Records,Fraud,II,Fraud,09162,8
Initial,"Theft, Pickpocket, Attempted",Larceny Theft - Pickpocket,II,Larceny Theft,06110,8
Initial,"Robbery, Att., Comm. Establ. W/ Knife",Robbery - Commercial,II,Robbery,03422,8
Initial Supplement,Pandering,Prostitution,IS,Prostitution,13020,8
Initial Supplement,"Privacy, Invasion of  (general)",Fraud,IS,Fraud,09267,8
Initial Supplement,"Theft, From Building, Att.",Larceny Theft - From Building,IS,Larceny Theft,06300,8
Initial Supplement,Falsifying Judicial & Public Records & Documents,Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09175,8
Initial Supplement,Dissuading/Threatening Of A Witness,Intimidation,IS,Other Miscellaneous,26135,8
Initial,Impersonating Public Utility Member,Other,II,Other Miscellaneous,27072,8
Initial,SFMTA Parking and Control Officer,,II,,74024,8
Initial Supplement,"Checks, Theft/Non-sufficient Funds, Felony",Bad Checks,IS,Fraud,09035,8
Initial Supplement,"Theft, Bicycle, Att.",Larceny Theft - Bicycle,IS,Larceny Theft,06310,8
Vehicle Initial,"Burglary, Apartment House, Forcible Entry",Burglary - Residential,VI,Burglary,05011,7
Initial,"Soliciting, Aggressive",Other,II,Other Offenses,30191,7
Initial Supplement,"Civil Sidewalks, Violation",Other,IS,Civil Sidewalks,64000,7
Initial Supplement,"Burglary, Flat, Att. Forcible Entry",Burglary - Residential,IS,Burglary,05022,7
Vehicle Supplement,"Traffic Collision, Hit & Run, Property Damage",Traffic Collision - Hit & Run,VS,Traffic Collision,68060,7
Initial Supplement,"Hallucinogenic, Sale",Drug Violation,IS,Drug Offense,16430,7
Initial,"Legal Instruments, Uttering False Checks, etc. (misd.)",Other,II,Other Miscellaneous,09010,7
Initial Supplement,"Sex Offender Failure to Register, Transient Violation",,IS,,14022,7
Initial Supplement,Assault to Commit Mayhem or Specific Sex Offenses,Aggravated Assault,IS,Assault,04145,7
Initial,"Theft, Purse Snatch, Att.",Larceny Theft - Purse Snatch,II,Larceny Theft,06130,7
Initial,"Marijuana, Furnishing",Drug Violation,II,Drug Offense,16050,7
Initial Supplement,"Firearm, Tampering With Marks",Weapons Offense,IS,Weapons Carrying Etc,12140,7
Vehicle Initial,"Theft, Bicycle, $200-$950",Larceny Theft - Bicycle,VI,Larceny Theft,06313,7
Initial,"Theft, Short Change, >$950",Larceny Theft - Other,II,Larceny Theft,10145,7
Initial Supplement,"VIN, Alter Or Remove",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,07201,7
Initial Supplement,"Burglary, Flat Under Constr., Unlawful Entry",Burglary - Residential,IS,Burglary,05123,7
Initial Supplement,"Driving, Reckless, Motorcycle Takeover (Dirt Bike, ATV, OHV)",,IS,,65022,7
Initial Supplement,"Gambling Devices, Possession",Gambling,IS,Gambling,66030,7
Initial,Loitering near ATM,Loitering,II,Offences Against The Family And Children,15401,7
Initial Supplement,"Robbery, Comml. Establ. W/ A Knife",Robbery - Commercial,IS,Robbery,03022,7
Initial Supplement,"Stolen Checks, Possession",Stolen Property,IS,Stolen Property,11017,7
Initial Supplement,"Caustic Chemical, Possession",Weapons Offense,IS,Weapons Offense,12055,7
Initial,"Parking Meters, Damage to",Vandalism,II,Malicious Mischief,28040,7
Initial,Refusing To Disperse Upon Lawful Command,Loitering,II,Disorderly Conduct,19070,7
Initial,"Fire Bomb, Possession or Use",Weapons Offense,II,Weapons Carrying Etc,12070,7
Initial Supplement,"Obstructions On Streets, Sidewalks",Other,IS,Other Offenses,30080,7
Vehicle Initial,"Theft, Bicycle, <$50, serial number known",Larceny Theft - Bicycle,VI,Larceny Theft,06315,7
Initial,Trespassing On Railroad Trains,Trespass,II,Other Miscellaneous,27200,7
Initial Supplement,"Civil Sidewalks, Booking",Other,IS,Civil Sidewalks,64003,7
Initial,"Theft, Animal, Att.",,II,,06378,7
Initial,Military Ordinance,,II,,12075,7
Initial Supplement,Hallucinogenics Offense,Drug Violation,IS,Drug Offense,16410,7
Initial,Crimes Against Revenue & Property of State,Fraud,II,Fraud,09161,7
Initial Supplement,"Burglary, Flat Under Constr., Forcible Entry",Burglary - Residential,IS,Burglary,05121,7
Initial Supplement,"Controlled Substance, Transportation",Drug Violation,IS,Drug Offense,16666,7
Initial Supplement,"Stolen Cellular Phone, non-cloned, Possession",Stolen Property,IS,Stolen Property,11014,7
Initial Supplement,"Malicious Mischief, Breaking Windows With BB Gun",Vandalism,IS,Malicious Mischief,28110,7
Initial Supplement,"Disturbing The Peace, Swearing",Disorderly Conduct,IS,Disorderly Conduct,19028,7
Initial Supplement,"Theft, Purse Snatch, >$950",Larceny Theft - Purse Snatch,IS,Larceny Theft,06134,7
Initial Supplement,"Opiates, Transportation",Drug Violation,IS,Drug Offense,16240,6
Vehicle Initial,Found Person,Missing Person,VI,Missing Person,75000,6
Vehicle Initial,"Vehicle Registration, False Evidence of",Forgery And Counterfeiting,VI,Forgery And Counterfeiting,07200,6
Coplogic Supplement,"Theft, Lost Property, Petty",Larceny Theft - Other,IS,Larceny Theft,27090,6
Initial,Accidental Lacerations,Non-Criminal,II,Non-Criminal,51020,6
Vehicle Supplement,"Vehicle, Rental, Failure to Return",Embezzlement,VS,Embezzlement,07056,6
Initial,"Driving, Drag Racing",Arrest,II,Other Miscellaneous,65013,6
Initial,Terrorizing by Arson or Explosive Device,Intimidation,II,Offences Against The Family And Children,15303,6
Initial Supplement,"Robbery, Att., Street or Public Place, W/ Other Weapon",Robbery - Street,IS,Robbery,03413,6
Initial Supplement,"Burglary, Residence Under Constr, Att. Forcible",Burglary - Residential,IS,Burglary,05142,6
Initial Supplement,Methadone Offense,Drug Violation,IS,Drug Offense,16630,6
Initial,Riot,Disorderly Conduct,II,Disorderly Conduct,19031,6
Initial Supplement,VIN Switch,Other,IS,Other Miscellaneous,07203,6
Vehicle Initial,"Theft, From Locked Vehicle, <$50",Larceny - From Vehicle,VI,Larceny Theft,06241,6
Initial Supplement,Auto Impounded,,IS,,64100,6
Initial Supplement,"Robbery, Att., Chain Store, W/ Knife",Robbery - Commercial,IS,Robbery,03442,6
Initial,"Theft, By Prostitute, $200-$400",Larceny Theft - Other,II,Larceny Theft,06143,6
Initial Supplement,"Embezzlement, Petty Theft By Employee",Embezzlement,IS,Embezzlement,10040,6
Initial Supplement,"Robbery, Att., Residence, W/ Force",Robbery - Residential,IS,Robbery,03454,6
Coplogic Initial,"Theft, Shoplifting, $50-$200",Larceny Theft - Shoplifting,II,Larceny Theft,06362,6
Initial Supplement,"Public Health Order Violation, After Notification",,IS,,27401,6
Initial Supplement,"Arson, Vacant Building",Arson,IS,Arson,26035,6
Initial Supplement,"Stolen Computer, Possession",Stolen Property,IS,Stolen Property,11015,6
Initial Supplement,"Public Transit, Acts Against",Other,IS,Other Offenses,30180,6
Vehicle Supplement,"Malicious Mischief, Vandalism to Vehicle",Vandalism,VS,Malicious Mischief,28160,6
Initial,"Theft, Grand, by Fiduciary, >$950 in 12 months",Larceny Theft - Other,II,Larceny Theft,06391,6
