report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial Supplement,"Robbery, Comml. Establ., W/ Gun",Robbery - Commercial,IS,Robbery,03021,67
Coplogic Initial,Forgery & Counterfeiting (general),Forgery And Counterfeiting,II,Forgery And Counterfeiting,09262,67
Coplogic Initial,"Theft, Shoplifting, >$950",Larceny Theft - Shoplifting,II,Larceny Theft,06364,66
Initial,"Assault, Att. Homicide, W/ Other Weapon",Aggravated Assault,II,Assault,04023,66
Initial,"Burglary, Residence Under Constr, Att. Forcible",Burglary - Residential,II,Burglary,05142,66
Initial Supplement,Forgery & Counterfeiting (general),Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09262,65
Initial,"Burglary, Vehicle, Att. (Arrest made)",Theft From Vehicle,II,Larceny Theft,05015,65
Initial,"Switchblade Knife, Possession",Weapons Offense,II,Weapons Carrying Etc,12164,65
Initial,"Theft, Purse Snatch, $200-$950",Larceny Theft - Purse Snatch,II,Larceny Theft,06133,64
Initial,Theft of Utility Services,Larceny Theft - Other,II,Larceny Theft,06396,64
Initial,"Fireworks, Exploding",Other,II,Other Miscellaneous,27145,63
Initial Supplement,"Theft, Lost Property, Grand",Larceny Theft - Other,IS,Larceny Theft,26145,63
Initial Supplement,"Burglary, Store, Att. Forcible Entry",Burglary - Commercial,IS,Burglary,05052,63
Initial,"Robbery, Att., Street or Public Place, W/ Knife",Robbery - Street,II,Robbery,03412,62
Initial,Kidnapping during Robbery,Kidnapping,II,Other Miscellaneous,26148,62
Coplogic Initial,"Access Card or Signature, Forgery of",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09110,62
Initial,Engaging In Lewd Act,Disorderly Conduct,II,Disorderly Conduct,13115,61
Initial Supplement,Municipal Code Violation (general),Other,IS,Other Offenses,30200,61
Initial,Soliciting or Engaging In Lewd Conduct,Prostitution,II,Prostitution,13111,61
Initial Supplement,"Burglary, Residence Under Constr, Forcible Entry",Burglary - Residential,IS,Burglary,05141,60
Initial Supplement,"Firearm, Discharging at Unoccupied Bldg, Vehicle or Aircraft",Aggravated Assault,IS,Assault,04084,60
Initial,"Methadone, Possession For Sale",Drug Violation,II,Drug Offense,16632,60
Initial Supplement,"Weapon, Prohibited, Possession, Sale, Mfg., Import",Weapons Offense,IS,Weapons Carrying Etc,12120,60
Initial,"Burglary, Hotel Room, Forcible Entry",Burglary - Residential,II,Burglary,05031,60
Initial,"Vehicle, Stolen, Motorcycle",Motor Vehicle Theft,II,Motor Vehicle Theft,07023,59
Vehicle Supplement,Carjacking with Bodily Force,Robbery - Carjacking,VS,Robbery,03084,59
Initial Supplement,Theft of Checks or Credit Cards,Larceny Theft - Other,IS,Larceny Theft,06125,58
Initial Supplement,"Theft, Petty, with Prior Conviction",Larceny Theft - Other,IS,Larceny Theft,06365,58
Initial,"Driving, Failure To Heed Red Light And Siren",Other,II,Other Miscellaneous,65040,58
Initial Supplement,"Robbery, Residence, W/ Gun",Robbery - Commercial,IS,Robbery,03051,58
Initial,"Checks, Theft/Non-sufficient Funds, Felony",Bad Checks,II,Fraud,09035,58
Initial Supplement,Kidnapping (Adult victim),Kidnapping,IS,Other Miscellaneous,26141,58
Initial Supplement,"Money, Property or Labor, Fraudulently Obtaining",Stolen Property,IS,Stolen Property,09031,57
Initial Supplement,"Malicious Mischief, Adult Suspect",Vandalism,IS,Malicious Mischief,28092,57
Initial,"Vehicle, Embezzled",Embezzlement,II,Embezzlement,07052,56
Initial Supplement,"Assault, Aggravated, On Police Officer, W/ Force",Aggravated Assault,IS,Assault,04074,56
Initial Supplement,"EPO or Restraining Order Violation, DVU related",Other,IS,Offences Against The Family And Children,15150,56
Coplogic Initial,"Burglary, Other Bldg., Unlawful Entry",Burglary - Other,II,Burglary,05073,56
Initial Supplement,"Alcohol, Under Influence Of In Public Place",Drunkenness,IS,Disorderly Conduct,19090,56
Vehicle Initial,"Vehicle, Recovered, Other Vehicle",Recovered Vehicle,VI,Recovered Vehicle,07046,55
