mapping_version,source_city,source_file,source_offense_code,source_offense_category,source_offense_description,source_auxiliary,source_severity,canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property,mapping_confidence,review_required,mapping_note,mapping_action,include_in_model,decision_basis,supporting_incident_rows,supporting_source_mappings,supporting_city_count
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02(A) Engage Org Crim Activity 90Z ALL OTHER,,,F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false,high,false,"Resolved in v1.2 as conspiracy_organized_crime; cluster supports 4,625 incident rows across 24 source mappings.",map,true,new_substantial_cluster,4625,24,4
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02(b) ENGAGING IN ORGANIZED CRIMINAL ACTIVIT,,,F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false,high,false,"Resolved in v1.2 as conspiracy_organized_crime; cluster supports 4,625 incident rows across 24 source mappings.",map,true,new_substantial_cluster,4625,24,4
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,23C,,PC 71.02(b) Engaging in Organized Criminal Activit,,,F08,larceny_theft,F08.04,shoplifting,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13A,,PC 71.02(e)  ENGAGE ORG CRIM ACTVTY USE/EXHBT DEAD,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,100,,PC 71.02A Agg Kidnapping EOC/Aggravated Kidnapping,,,F05,kidnapping_trafficking,F05.04,kidnapping_abduction,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,120,,PC 71.02A Agg Robbery EOC/Aggravated Robbery,,,F03,robbery,F03.01,robbery,violent,person,true,true,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,120,,PC 71.02A Agg Robbery EOC/Aggravated Robbery 120 R,,,F03,robbery,F03.01,robbery,violent,person,true,true,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,120,,PC 71.02A Robbery EOC/Robbery,,,F03,robbery,F03.01,robbery,violent,person,true,true,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,120,,PC 71.02A Robbery EOC/Robbery 120 ROBBERY 73991005,,,F03,robbery,F03.01,robbery,violent,person,true,true,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13B,,PC 72.02 Assault BI SF Engaged in Organized Crimin,,,F04,assault,F04.02,simple_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
