part_category,category,stat_desc,stat,row_count
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Public Nuisance",392,332
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Parole/Probation Violation",397,307
1,LARCENY THEFT,GRAND THEFT: Boat,080,301
2,DRUNK / ALCOHOL / DRUGS,DRUNK: Drugs,202,287
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Escape, Adult/Juvenile",323,274
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: False Imprisonment",329,270
2,FRAUD AND NSF CHECKS,DEFRAUDING: Defrauding Public Convey/Util. (Fel Or Misd),162,270
1,ARSON,"ARSON: Other Residential (Apts, Hotels, Dorms, Etc)",271,267
2,SEX OFFENSES MISDEMEANORS,FAILING TO REGISTER AS SEX OFFENDER - MISD.,138,264
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Other Veh, Attempt(Snowmobile, Golf Cart)",098,262
2,MISDEMEANORS MISCELLANEOUS,HATE INCIDENTS - NON CRIMINAL,529,261
1,ROBBERY,"ROBBERY, STRONG-ARM: Service Station",043,249
2,WARRANTS,WARRANTS: Misdemeanor,286,243
1,FORCIBLE RAPE,"RAPE BY FORCE, MALE UNDER 18",027,231
2,OFFENSES AGAINST FAMILY,MENTAL ELDER/DEPENDENT ADULT ABUSE,176,226
2,WARRANTS,"WARRANTS: Felony, In County",283,219
2,GAMBLING,GAMBLING: Gambling/Touting,231,218
1,FORCIBLE RAPE,"RAPE BY FORCE, MALE 18 AND OVER",025,213
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Child Stealing",327,185
1,ROBBERY,"ROBBERY, STRONG-ARM: Bank",046,176
2,SEX OFFENSES MISDEMEANORS,CHILD PORNOGRAPHY,137,162
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Conspiracy",322,155
1,ROBBERY,"ROBBERY, WEAPON: Bank",036,150
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW, PEACE OFFICER - GUN",055,150
2,OFFENSES AGAINST FAMILY,OFFENSES AGAINST FAMILY: Abandonment,171,140
2,LIQUOR LAWS,LIQUOR LAWS: Sell Liquor To Minor,191,136
2,DISORDERLY CONDUCT,LOUD PARTY-WARNING NOTICE ISSUED/RPT TAKEN,218,135
2,LIQUOR LAWS,LIQUOR LAWS: Drinking In Vehicle,195,134
1,ARSON,"ARSON: Storage (Barns, Garages, Warehouses, Etc)",272,130
1,LARCENY THEFT,GRAND THEFT: From Coin Operated Machine,088,128
1,LARCENY THEFT,VEHICLE BURGLARY: Attempt Other Vehicle,345,126
1,LARCENY THEFT,BOAT BURGLARY: Boat Burglary,360,120
1,ARSON,"ARSON: Other Mobile Property (Trailer, Boat, Airplane, Motor Home)",278,117
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Motorcycle, Attempt",096,114
2,LIQUOR LAWS,LIQUOR LAWS: Storage Of Open Container,197,110
2,FRAUD AND NSF CHECKS,WORTHLESS DOCUMENTS/FORGERY: NSF/Account Closed/Checks-$200 or Less,102,107
1,ARSON,ARSON: All Other Structures (Bldg Under Construction),276,107
2,FEDERAL OFFENSES W/O MONEY,FEDERAL OFFENSES WITHOUT MONEY: Tampering With Mail,305,105
2,SEX OFFENSES FELONIES,SEX FELONIES: Pimping,125,104
2,DRUNK DRIVING VEHICLE / BOAT,DRUNK DRIVING - VEHICLE/BOAT:  Marijuana,246,99
1,LARCENY THEFT,"THEFT, PETTY: Boat",382,98
2,FELONIES MISCELLANEOUS,HAZARDOUS MATERIALS: Illegal Dumping Of Hazardous Material,511,96
2,MISDEMEANORS MISCELLANEOUS,"MISDEMEANORS, MISCELLANEOUS: Contributing To Delinquency",396,93
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW, PEACE OFFICER - KNIFE",056,93
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Unlawful Possession Explosives",334,88
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Unlawful Use Explosives",333,81
2,GAMBLING,GAMBLING: Bookmaking,233,76
1,FORCIBLE RAPE,"ATTEMPT FORCIBLE RAPE, FEMALE UNDER 18",024,68
1,ARSON,ARSON: Industrial/Manufacturing,273,68
2,SEX OFFENSES FELONIES,ORAL COPULATION,127,66
