incident_description,row_count
"Homicide, W/ Sharp Object",14
"Robbery, Att., Residence, W/ Gun",14
Soliciting to Visit House Of Prostitution,14
"Assault, Aggravated, On Police Officer, W/ Gun",14
"Counterfeiting, Coins Or Notes",14
"Robbery,  ATM, Knife, Att.",14
Solicits Lewd Act,13
Throwing Injurious Substance on Highway,13
VIN Switch,13
"Weapon, Assault, Registration or Transfer Violation",13
"Telephone or Telegraph Message, Sending False",13
"Delivered Mail, Damage or Destruction of",13
"Firearm Transfer, Violation",13
Suicide By Asphyxiation,13
"Demonstration, Video Evidence, Misc Investigation",13
"Vehicle, Disabled Placard Violation",13
"Theft, Coin Operated Machine, >$950",13
"Theft, Motorcycle Strip, >$950",13
"Civil Rights, incl. Injury, Threat, or Damage (Hate Crimes)",12
Defrauding Of Vehicle Repairman,12
"Burglary, Hotel Room, Att. Forcible Entry",12
"Dog or Cat, Abandonment of",12
Service of Documents Related to a Civil Drug Abatement and/or Public Nuisance Action,12
"Firefighter, Interfering with",12
"Heroin, Transportation",12
"Robbery, Bank, W/ Knife",11
"Interfering, W/ Police Officer",11
"Robbery, Att., Comm. Establ. W/ Knife",11
"Financial Statements, False",11
"Permit Violation, Sidewalk Sales",11
"Theft, Purse Snatch, <$50",11
"Theft, Drunk Roll, $50-$200",11
"Bathroom Hole, Looking through",11
Disturbing Religious Meetings,11
Theft of Written Instrument,10
Military Ordinance,10
"Letters, Opening Sealed",10
Perjury,10
"Theft, Coin Operated Machine, <$50",10
"School, Disrupt Activities",10
"Weapon, Taking or Attempting to Take from Peace Officer",10
"Theft, Coin Operated Machine, $50-$200",10
"Theft, Short Change, >$950",10
"Theft, Short Change",9
"Assault, Att. Mayhem, W/ Force",9
"Eavesdropping Devices, Sale or Use",9
"Aerosol Container; Sale, Purchase or Possession of",9
"Theft, Pickpocket, Attempted",9
Loitering Around Public Toilet For Lewd Act,8
"Robbery, Att., Service Station, W/ Gun",8
"Robbery,  ATM, Gun, Att.",8
Falsification of Medical Records,8
"Burglary, Warehouse Under Constr, Forcible Entry",8
SFMTA Parking and Control Officer,8
"Robbery, Service Station W/ Other Weapon",8
"Marijuana, Furnishing",8
"Theft, Purse Snatch, Att.",8
"Conceal Crime or Withhold Evidence, Accepting Payment to",8
"Theft, Grand, by Fiduciary, >$950 in 12 months",8
Trespassing On Railroad Trains,8
"Drug Lab Apparatus, Possession",8
"Fire Bomb, Possession or Use",8
Impersonating Public Utility Member,8
Opium Derivative Offense,8
"Homicide, W/ Other Weapon",7
"Theft, Animal, Att.",7
Loitering near ATM,7
Crimes Against Revenue & Property of State,7
"Soliciting, Aggressive",7
"Parking Meters, Damage to",7
"Opium Derivative, Possession For Sale",7
"Wiretaps, Unauthorized",7
"Firearm Silencer, Possession",7
"Driving, Drag Racing",7
Refusing To Disperse Upon Lawful Command,7
"Legal Instruments, Uttering False Checks, etc. (misd.)",7
Accidental Lacerations,7
"Rape, Spousal",6
"Firearms, Seizing at Scene of DVU",6
"Hazardous Materials, Dumping in Unauthorized Location",6
"Theft, By Prostitute, $200-$400",6
"Narcotics Addict, Failure To Register",6
"Endless Chain Schemes, Ponzi Schemes",6
Trespassing or Loitering Near Posted Industrial Property,6
Terrorizing by Arson or Explosive Device,6
"Aerosol Paint & Marker Pens, Display & Storage",6
"Access Card Information, Publication of",6
"Police Broadcast, Interception to Commit Crime",6
"Burglary, Warehouse Under Constr, Unlawful Entry",6
"Vehicle Alarm Code Grabbing Device, Possess or Use",6
"Embezzlement, Grand Theft Private Property",6
Megan's Law Notification,6
"Destructive Device, Possession of Materials",6
Labor Code Violation,6
"Procurement, Pimping, & Pandering",5
"Sexual Contact with Patient, former Patient",5
"Taxi Fare, Overcharging",5
Trespass within 30 days of Credible Threat,5
"Theft, Coin Operated Machine, Att.",5
"Assault, Mayhem, W/ Gun",5
"Cloned Cellular Phone, Use",5
"Death, Non-manslaughter Vehicle Accident",5
Kidnapping for Ransom or Extortion,5
"Robbery,  ATM, Other Weapon, Att.",5
Suicide By Ingestion,5
"Drug Offender, Presence  near School Grounds",5
Harbor & Navigations Code Violation (general),5
Obscene Movies or Acts,5
"Arson, Police Vehicle",5
Escapes,5
"Suicide By Asphyxiation, Att.",5
"Burglary, Safe,  Hotel",5
SFMTA Employee-Non Operator/Station Agent-Other Employee,5
"Hallucinogenic, Transportation",4
"Theft, Motorcycle Strip, $50-$200",4
"Forgery, Government Or Corporate Seals",4
"Homicide, W/ Force",4
"Theft, Drunk Roll, <$50",4
Wearing Mask or Disguise for Unlawful Purpose,4
"Chop Shop, Own or Operate",4
"Cable TV Connection or Decoding Device, Unauthorized",4
"Robbery, Att., Bank, W/ Knife",4
"Riot, Inciting To",4
"Burglary, Safe,  Warehouse",4
Evading Payment of Railroad Fare,4
Lotteries (general),4
"Telephone or Telegraph Messages, Altering",4
"Burglary, Flat Under Constr., Att. Forcible",4
"Assault, Att. Homicide, Explosives",4
"Theft, Drunk Roll, Att.",4
"Embezzlement, Petty Theft, Leased Property",4
"Suicide By Firearms, Att.",4
"Explosives, Illegal Transportation",4
School Student or Employee Entering  Campus after Suspension or Dismissal,3
"Rape, Assault To, W/ Other Weapon",3
