description,crime_code,weapon,row_count
FRAUD,26E,KNIFE_CUTTING_INSTRUMENT,2
AGG. ASSAULT,13A,AUTOMATIC_OTHER_FIREARM,2
LARCENY,23B,PERSONAL_WEAPONS,2
EXTORTION,210,OTHER,2
FRAUD,26A,MOTOR_VEHICLE_VESSEL,2
SHOPLIFTING,23C,FIREARM,2
FRAUD,26B,KNIFE_CUTTING_INSTRUMENT,2
AUTO THEFT,240,UNKNOWN,2
ROBBERY,120,AUTOMATIC_RIFLE,1
LARCENY FROM AUTO,23F,AUTOMATIC_HANDGUN,1
EXTORTION,210,UNKNOWN,1
SEX OFFENSES,36B,OTHER,1
AUTO THEFT,240,AUTOMATIC_FIREARM,1
HOMICIDE,09A,AUTOMATIC_RIFLE,1
WEAPON VIOLATIONS,520,KNIFE_CUTTING_INSTRUMENT,1
FRAUD,26B,UNKNOWN,1
PORNOGRAPHY,370,BLUNT_OBJECT,1
COMMON ASSAULT,13B,RIFLE,1
RAPE,11C,FIRE_INCENDIARY_DEVICE,1
FRAUD,26C,FIREARM,1
COMMON ASSAULT,13B,AUTOMATIC_HANDGUN,1
STOLEN PROPERTY,280,OTHER,1
FRAUD,26E,OTHER,1
RAPE,11B,MOTOR_VEHICLE_VESSEL,1
LARCENY,23E,BLUNT_OBJECT,1
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,KNIFE_CUTTING_INSTRUMENT,1
BURGLARY,220,DRUGS_NARCOTICS_SLEEPING_PILLS,1
STOLEN PROPERTY,280,RIFLE,1
KIDNAPPING,100,RIFLE,1
EXTORTION,210,FIREARM,1
INTIMIDATION,13C,MOTOR_VEHICLE_VESSEL,1
LARCENY,23H,FIRE_INCENDIARY_DEVICE,1
FRAUD,26B,ASPHYXIATION,1
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,FIREARM,1
ARSON,200,EXPLOSIVES,1
RAPE,11A,MOTOR_VEHICLE_VESSEL,1
RAPE,11B,OTHER,1
ROBBERY,120,DRUGS_NARCOTICS_SLEEPING_PILLS,1
SEX OFFENSES,36B,PERSONAL_WEAPONS,1
FRAUD,26C,HANDGUN,1
COMMON ASSAULT,13B,FIRE_INCENDIARY_DEVICE,1
FRAUD,26C,PERSONAL_WEAPONS,1
COMMON ASSAULT,13B,OTHER_FIREARM,1
FRAUD,26D,PERSONAL_WEAPONS,1
DRUG VIOLOATION,35B,"",1
RAPE,11C,ASPHYXIATION,1
COMMON ASSAULT,13B,DRUGS_NARCOTICS_SLEEPING_PILLS,1
ROBBERY,120,POISON,1
ANIMAL CRUELTY,720,BLUNT_OBJECT,1
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,BLUNT_OBJECT,1
SEX OFFENSES,11D,MOTOR_VEHICLE_VESSEL,1
LARCENY,23B,MOTOR_VEHICLE_VESSEL,1
DRUG/NARCOTIC VIOLATIONS,35A,PERSONAL_WEAPONS,1
FRAUD,26A,KNIFE_CUTTING_INSTRUMENT,1
RAPE,11C,KNIFE_CUTTING_INSTRUMENT,1
FRAUD,26F,PERSONAL_WEAPONS,1
HOMICIDE,09A,SHOTGUN,1
HOMICIDE,09A,AUTOMATIC_OTHER_FIREARM,1
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,MOTOR_VEHICLE_VESSEL,1
FRAUD,26C,OTHER,1
SEX OFFENSES,36B,KNIFE_CUTTING_INSTRUMENT,1
INTIMIDATION,13C,AUTOMATIC_FIREARM,1
LARCENY FROM AUTO,23F,UNKNOWN,1
ROBBERY - CARJACKING,120,AUTOMATIC_FIREARM,1
SEX OFFENSES,11D,HANDGUN,1
RAPE,11B,DRUGS_NARCOTICS_SLEEPING_PILLS,1
ARSON,200,ASPHYXIATION,1
FRAUD,26F,HANDGUN,1
AUTO THEFT,240,AUTOMATIC_HANDGUN,1
LARCENY,23H,SHOTGUN,1
LARCENY,23D,FIREARM,1
KIDNAPPING,100,DRUGS_NARCOTICS_SLEEPING_PILLS,1
WEAPON VIOLATIONS,520,BLUNT_OBJECT,1
SEX OFFENSES,11D,OTHER,1
KIDNAPPING,100,OTHER_FIREARM,1
FRAUD,26A,FIREARM,1
LARCENY,23A,PERSONAL_WEAPONS,1
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,RIFLE,1
RAPE,11A,FIRE_INCENDIARY_DEVICE,1
