ucr_offense_description,nibrs_crime_category,hate_crime_description,nibrs_crime_against,nibrs_crime,offense_type,nibrs_type,nibrs_code,family_offense,nibrs_group,row_count
,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,,COD,13C,false,A,4
,WEAPON LAW VIOLATIONS,,SOCIETY,WEAPON LAW VIOLATIONS,,Coded,520,,A,4
,FRAUD OFFENSES,None,PROPERTY,CREDIT CARD/ ATM FRAUD,,No Coded,26B,,A,4
CRIMINAL MISCHIEF/VANDALISM,,Anti Other Religion,,,PART2,,,false,,4
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,SHOPLIFTING,PART1,Coded,23C,,A,4
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,PART1,No Coded,220,false,A,4
FRAUD,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,No Coded,250,false,A,4
OTHER OFFENSES,,Anti Multi-Racial Group,,,PART2,,,false,,4
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,,No Coded,220,,A,4
,LARCENY/ THEFT OFFENSES,None,PROPERTY,PURSE-SNATCHING,,Coded,23B,,A,4
,MOTOR VEHICLE THEFT,,PROPERTY,UUMV,,Coded,240,,A,4
AGGRAVATED ASSAULT,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,PART1,Not Coded,13A,false,A,4
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Not Coded,240,,A,4
,ROBBERY,Anti Homosexual (Gays and Lesbians),PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,false,A,4
,DRUG/ NARCOTIC VIOLATIONS,,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,Coded,35A,,A,4
FRAUD,,,,,PART2,,,false,,4
AGGRAVATED ASSAULT,,Unknown,,,NOT CODED,,,false,,4
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,,A,4
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,NOT CODED,Coded,220,false,A,4
,FRAUD OFFENSES,None,PROPERTY,HACKING/COMPUTER INVASION,,Coded,26G,,A,4
,DISORDERLY CONDUCT,Anti Black Or African American,SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,false,B,4
FOUND PROPERTY,,Anti White,,,NOT CODED,,,false,,4
CRIMINAL MISCHIEF/VANDALISM,ANIMAL OFFENSES,Unknown,SOCIETY,ANIMAL CRUELTY,PART2,Coded,720,false,A,4
,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,4
AGGRAVATED ASSAULT,,,,,PART1,,,false,,4
,FRAUD OFFENSES,Unknown,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,,Coded,26A,false,A,4
DRUNK & DISORDERLY,,,,,PART2,,,,,4
DISORDERLY CONDUCT,,,,,PART2,,,,,4
ROBBERY,,Anti White,,,PART1,,,false,,4
PORNOGRAPHY/OBSCENE MATERIAL,PORNOGRAPHY/ OBSCENE MATERIAL,None,SOCIETY,PORNOGRAPHY/ OBSCENE MATERIAL,PART2,Coded,370,false,A,4
,GAMBLING OFFENSES,None,SOCIETY,OPERATING/ PROMOTING/ ASSISTING GAMBLING,,Coded,39B,false,A,4
FORGERY & COUNTERFEIT,,,,,PART2,,,false,,4
,DRIVING UNDER THE INFLUENCE,,SOCIETY,DUI,,90D - No Coded,90D,,B,4
ASSAULT,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,SIMPLE ASSAULT,PART2,Coded,13B,false,A,4
,FRAUD OFFENSES,Unknown,PROPERTY,CREDIT CARD/ ATM FRAUD,,Coded,26B,false,A,4
OTHER OFFENSES,,Anti Other Ethnicity/Natl Origin,,,PART2,,,false,,3
OTHER OFFENSES,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,Coded,35A,false,A,3
,MISCELLANEOUS,Anti Homosexual (Gays and Lesbians),MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,3
FIREARMS ACCIDENT,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,3
OTHER OFFENSES,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,3
,DRUG/ NARCOTIC VIOLATIONS,Unknown,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,Coded,35A,false,A,3
,ASSAULT OFFENSES,Anti Transgender,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,3
,DISORDERLY CONDUCT,Anti Homosexual (Gays and Lesbians),SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,false,B,3
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Asian/Pacific Islander,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,false,A,3
,TRESPASS OF REAL PROPERTY,,SOCIETY,TRESPASS OF REAL PROPERTY,,90J - No Coded,90J,,B,3
,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,,Coded,100,,A,3
ASSAULT,,,,,PART2,,,false,,3
,HUMAN TRAFFICKING,None,PERSON,"HUMAN TRAFFICKING, INVOLUNTARY SERVITUDE",,Coded,64B,false,A,3
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,PART1,Not Coded,13A,false,A,3
,FRAUD OFFENSES,None,PROPERTY,HACKING/COMPUTER INVASION,,No Coded,26G,false,A,3
,ASSAULT OFFENSES,Anti Female Homosexual (Lesbian),PERSON,INTIMIDATION,,Coded,13C,false,A,3
OTHER OFFENSES,,Anti Jewish,,,PART2,,,false,,3
MURDER,,,,,PART1,,,false,,3
AGGRAVATED ASSAULT,,Anti Hispanic,,,PART1,,,false,,3
,ASSAULT OFFENSES,Anti White,PERSON,INTIMIDATION,,Coded,13C,false,A,3
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Homosexual (Gays and Lesbians),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,3
TRAFFIC,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,false,A,3
LIQUOR,LIQUOR LAW VIOLATIONS,None,SOCIETY,LIQUOR LAW VIOLATIONS,PART2,90G - No Coded,90G,false,B,3
KIDNAPPING/ABDUCTION,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,PART2,Coded,100,false,A,3
CRIMINAL MISCHIEF/VANDALISM,,Anti Islamic (Muslim),,,PART2,,,false,,3
ROBBERY,,Anti White,,,NOT CODED,,,false,,3
ROBBERY,,Anti Homosexual (Gays and Lesbians),,,PART1,,,false,,3
ARSON,ARSON,Unknown,PROPERTY,ARSON,PART2,No Coded,200,false,A,3
BURGLARY,,,,,PART1,,,false,,3
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Hispanic,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,3
OTHER OFFENSES,FRAUD OFFENSES,Unknown,PROPERTY,IMPERSONATION,PART2,Coded,26C,false,A,3
AGGRAVATED ASSAULT,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,PART1,No Coded,220,false,A,3
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,NOT CODED,Coded,23F,,A,3
OTHER OFFENSES,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,PART2,Coded,100,false,A,3
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Other Religion,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,3
,"FAMILY OFFENSES, NONVIOLENT",,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",,90F - No Coded,90F,,B,3
,BURGLARY/ BREAKING & ENTERING,,PROPERTY,BURGLARY-BUSINESS,,No Coded,220,,A,3
ARSON,,,,,PART2,,,,,3
DISORDERLY CONDUCT,,Anti Black Or African American,,,PART2,,,false,,3
ROBBERY,ROBBERY,Unknown,PROPERTY,ROBBERY-BUSINESS,NOT CODED,No Coded,120,false,A,3
DISORDERLY CONDUCT,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,3
BURGLARY,BURGLARY/ BREAKING & ENTERING,,PROPERTY,BURGLARY-BUSINESS,PART1,Coded,220,,A,3
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Other Ethnicity/Natl Origin,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,2
ROBBERY,,,,,PART1,,,false,,2
DISORDERLY CONDUCT,,Anti Islamic (Muslim),,,PART2,,,false,,2
TRAFFIC,,Unknown,,,PART2,,,false,,2
DRUNK &DISORDERLY,,,,,PART2,,,,,2
ASSAULT,,Anti Female Homosexual (Lesbian),,,PART2,,,false,,2
,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,,Coded,720,,A,2
,ASSAULT OFFENSES,Anti Asian/Pacific Islander,PERSON,INTIMIDATION,,Coded,13C,false,A,2
NARCOTICS/DRUGS,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG EQUIPMENT VIOLATIONS,PART2,Coded,35B,false,A,2
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,2
,ASSAULT OFFENSES,Anti White,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,2
,MISCELLANEOUS,Anti-Hawaiian Or Other Pacific Islander,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,2
,PORNOGRAPHY/ OBSCENE MATERIAL,None,SOCIETY,PORNOGRAPHY/ OBSCENE MATERIAL,,Coded,370,,A,2
FRAUD,FRAUD OFFENSES,,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,,A,2
THEFT,,Anti Other Ethnicity/Natl Origin,,,PART1,,,false,,2
FOUND PROPERTY,,Anti Am. Indian/Alaskan Native,,,NOT CODED,,,false,,2
KIDNAPPING/ABDUCTION,,None,,,NOT CODED,,,false,,2
,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,2
,ASSAULT OFFENSES,Anti Hispanic,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,2
MOTOR VEHICLE ACCIDENT,TRAFFIC VIOLATION - HAZARDOUS,,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,PART2,999 - No Coded,999,,C,2
DISORDERLY CONDUCT,ASSAULT OFFENSES,Anti Black Or African American,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,2
ASSAULT,ASSAULT OFFENSES,Anti Black Or African American,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,2
,EMBEZZELMENT,,PROPERTY,EMBEZZELMENT,,Coded,270,,A,2
AUTO THEFT - UUMV,,None,,,PART1,,,,,2
LOST PROPERTY,,,,,NOT CODED,,,,,2
KIDNAPPING/ABDUCTION,,Unknown,,,PART1,,,false,,2
,LARCENY/ THEFT OFFENSES,Anti Jewish,PROPERTY,ALL OTHER LARCENY,,Coded,23H,false,A,2
ROBBERY,ROBBERY,,PROPERTY,ROBBERY-BUSINESS,PART1,Coded,120,,A,2
ACCIDENTAL INJURY,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,,C,2
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,PART1,Coded,23G,,A,2
,ASSAULT OFFENSES,Anti Female Homosexual (Lesbian),PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,2
,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-RESIDENCE,,No Coded,220,false,A,2
,ASSAULT OFFENSES,Anti Asian/Pacific Islander,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,2
FOUND PROPERTY,MISCELLANEOUS,Anti White,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,2
OTHER OFFENSES,ALL OTHER OFFENSES,,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,,B,2
ASSAULT,ASSAULT OFFENSES,Anti Male Homosexual (Gay),PERSON,SIMPLE ASSAULT,PART2,Coded,13B,false,A,2
CRIMINAL MISCHIEF/VANDALISM,,Anti Multi-Religious Group,,,PART2,,,false,,2
OTHER OFFENSES,,Anti Arab,,,PART2,,,false,,2
,ASSAULT OFFENSES,Anti Arab,PERSON,INTIMIDATION,,Coded,13C,false,A,2
ASSAULT,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,INTIMIDATION,PART2,Coded,13C,false,A,2
TRAFFIC FATALITY,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,2
ASSAULT,ASSAULT OFFENSES,Anti Jewish,PERSON,INTIMIDATION,PART2,Not Coded,13C,false,A,2
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,PURSE-SNATCHING,NOT CODED,No Coded,23B,false,A,2
,ALL OTHER OFFENSES,Anti Black Or African American,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,,90Z - No Coded,90Z,false,B,2
,KIDNAPPING/ ABDUCTION,Unknown,PERSON,KIDNAPPING/ ABDUCTION,,Coded,100,false,A,2
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Catholic,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,2
ROBBERY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,NOT CODED,No Coded,220,false,A,2
TRAFFIC FATALITY,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,,C,2
,MISCELLANEOUS,Anti Other Ethnicity/Natl Origin,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,2
DISORDERLY CONDUCT,,Anti Other Ethnicity/Natl Origin,,,PART2,,,false,,2
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,NOT CODED,No Coded,23A,false,A,2
HUMAN TRAFFICKING,HUMAN TRAFFICKING,None,PERSON,"HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",PART2,Coded,64A,false,A,2
,LARCENY/ THEFT OFFENSES,,PROPERTY,SHOPLIFTING,,Coded,23C,,A,2
,ROBBERY,None,PROPERTY,SHOPLIFT CONTACT,,Coded,120,,A,2
,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,,COD,100,false,A,2
OCCUPATIONAL ACCIDENT,,Unknown,,,NOT CODED,,,false,,2
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Jewish,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,2
ROBBERY,ROBBERY,Unknown,PROPERTY,ROBBERY-INDIVIDUAL,NOT CODED,Coded,120,false,A,2
,TRAFFIC VIOLATION - HAZARDOUS,,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,,999 - No Coded,999,,C,2
,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,,No Coded,250,,A,2
ASSAULT,,Anti Am. Indian/Alaskan Native,,,PART2,,,false,,2
DISORDERLY CONDUCT,,Anti Homosexual (Gays and Lesbians),,,PART2,,,false,,2
ASSAULT,,Anti Hispanic,,,PART2,,,false,,2
ROBBERY,ROBBERY,Anti Homosexual (Gays and Lesbians),PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,2
MOTOR VEHICLE ACCIDENT,ALL OTHER OFFENSES,,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,,B,2
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Anti White,PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,2
ROBBERY,ROBBERY,Anti Male Homosexual (Gay),PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,2
,ASSAULT OFFENSES,Anti Islamic (Muslim),PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,2
,MISCELLANEOUS,Anti Hispanic,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,2
,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-BUSINESS,,No Coded,220,false,A,2
DISORDERLY CONDUCT,,Anti Female Homosexual (Lesbian),,,PART2,,,false,,2
FOUND PROPERTY,,,,,NOT CODED,,,false,,2
DISORDERLY CONDUCT,,Anti Jewish,,,PART2,,,false,,2
ASSAULT,ASSAULT OFFENSES,Anti Hispanic,PERSON,SIMPLE ASSAULT,PART2,Coded,13B,false,A,2
ROBBERY,ROBBERY,Anti White,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,2
DISORDERLY CONDUCT,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,2
,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,,Coded,26C,,A,2
,ASSAULT OFFENSES,,PERSON,AGG ASSAULT - FV,,Coded,13A,,A,2
,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,,No Coded,520,,A,2
FORGERY & COUNTERFEIT,COUNTERFEITING / FORGERY,,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,,A,2
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Hispanic,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,2
,ROBBERY,None,PROPERTY,SHOPLIFT CONTACT,,No Coded,120,,A,2
,ASSAULT OFFENSES,Anti Other Ethnicity/Natl Origin,PERSON,INTIMIDATION,,Coded,13C,false,A,2
CRIMINAL MISCHIEF/VANDALISM,,Anti Female Homosexual (Lesbian),,,PART2,,,false,,2
OTHER OFFENSES,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,PART2,999 - No Coded,999,,C,2
TRAFFIC,FRAUD OFFENSES,,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,,A,2
FORGERY & COUNTERFEITING,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,No Coded,250,false,A,2
ROBBERY,,Anti Hispanic,,,PART1,,,false,,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Multi-Religious Group,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,1
FORGERY & COUNTERFEIT,,,,,PART2,,,,,1
AIRPLANE,,None,,,NOT CODED,,,false,,1
AGGRAVATED ASSAULT,,Anti Male Homosexual (Gay),,,PART1,,,false,,1
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,No Coded,290,,A,1
THEFT,LARCENY/ THEFT OFFENSES,,PROPERTY,PURSE-SNATCHING,NOT CODED,Coded,23B,,A,1
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,NOT CODED,Coded,23G,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,Anti Protestant,PROPERTY,THEFT FROM MOTOR VEHICLE,PART1,Coded,23F,false,A,1
ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,PART2,Not Coded,13A,false,A,1
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,,PROPERTY,UUMV,PART1,Coded,240,,A,1
BURGLARY,BURGLARY/ BREAKING & ENTERING,Anti Hispanic,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,1
TRAFFIC,TRAFFIC VIOLATION - HAZARDOUS,Unknown,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,PART2,999 - No Coded,999,false,C,1
,"FAMILY OFFENSES, NONVIOLENT",Unknown,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",,90F - No Coded,90F,false,B,1
FORGERY & COUNTERFEIT,,Anti White,,,PART2,,,false,,1
,ASSAULT OFFENSES,Anti Homosexual (Gays and Lesbians),PERSON,INTIMIDATION,,Not Coded,13C,false,A,1
ROBBERY,,Anti Am. Indian/Alaskan Native,,,PART1,,,false,,1
AUTO THEFT - UUMV,,,,,NOT CODED,,,,,1
FOUND PROPERTY,,Anti Protestant,,,NOT CODED,,,false,,1
CHILD (OFFENSES AGAINST),,Unknown,,,PART2,,,false,,1
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,NOT CODED,No Coded,23E,false,A,1
FRAUD,FRAUD OFFENSES,None,PROPERTY,WIRE FRAUD,PART2,Coded,26E,false,A,1
OTHER OFFENSES,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,PART2,No Coded,26C,false,A,1
FRAUD,FRAUD OFFENSES,,PROPERTY,IMPERSONATION,PART2,Coded,26C,,A,1
DRUNK & DISORDERLY,PUBLIC INTOXICATION,Anti White,SOCIETY,PUBLIC INTOXICATION,PART2,90E - No Coded,90E,false,B,1
,BURGLARY/ BREAKING & ENTERING,Anti Male Homosexual (Gay),PROPERTY,BURGLARY-RESIDENCE,,Coded,220,false,A,1
FOUND PROPERTY,MISCELLANEOUS,Anti-Hawaiian Or Other Pacific Islander,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,1
FRAUD,FRAUD OFFENSES,None,PROPERTY,HACKING/COMPUTER INVASION,PART2,Coded,26G,false,A,1
ROBBERY,ROBBERY,Anti Transgender,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,1
ROBBERY,ROBBERY,Anti Arab,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,1
,DRIVING UNDER THE INFLUENCE,Anti Other Ethnicity/Natl Origin,SOCIETY,DUI,,90D - No Coded,90D,false,B,1
,DRUG/ NARCOTIC VIOLATIONS,Unknown,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,No Coded,35A,false,A,1
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,POCKET-PICKING,,Coded,23A,false,A,1
,DISORDERLY CONDUCT,Anti White,SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,false,B,1
,FRAUD OFFENSES,,PROPERTY,WIRE FRAUD,,Coded,26E,,A,1
OTHER OFFENSES,,,,,PART2,,,false,,1
LOST PROPERTY,,Anti Hispanic,,,NOT CODED,,,false,,1
,ROBBERY,Anti Male Homosexual (Gay),PROPERTY,ROBBERY-INDIVIDUAL,,Coded,120,false,A,1
,MISCELLANEOUS,Anti Jewish,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,1
CRIMINAL MISCHIEF/VANDALISM,,Anti Multi-Racial Group,,,PART2,,,false,,1
ROBBERY,,Anti Male Homosexual (Gay),,,PART1,,,false,,1
OTHER OFFENSES,,Anti Black Or African American,,,PART2,,,false,,1
FIREARMS ACCIDENT,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,,C,1
KIDNAPPING/ABDUCTION,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,NOT CODED,Coded,100,false,A,1
THEFT,MOTOR VEHICLE THEFT,Unknown,PROPERTY,UUMV,PART1,Not Coded,240,false,A,1
NARCOTICS/DRUGS,DRUG/ NARCOTIC VIOLATIONS,,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,Coded,35A,,A,1
ROBBERY,ROBBERY,Anti Other Ethnicity/Natl Origin,PROPERTY,ROBBERY-INDIVIDUAL,NOT CODED,No Coded,120,false,A,1
,MISCELLANEOUS,Anti Male Homosexual (Gay),MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Islamic (Muslim),PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,1
,KIDNAPPING/ ABDUCTION,Anti Homosexual (Gays and Lesbians),PERSON,KIDNAPPING/ ABDUCTION,,Coded,100,false,A,1
,ASSAULT OFFENSES,Anti Arab,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,1
,FRAUD OFFENSES,None,PROPERTY,WIRE FRAUD,,No Coded,26E,,A,1
,HOMICIDE OFFENSES,None,PERSON,MURDER & NONNEGLIGENT MANSLAUGHTER,,Coded,09A,,A,1
,WEAPON LAW VIOLATIONS,Unknown,SOCIETY,WEAPON LAW VIOLATIONS,,Coded,520,false,A,1
,ARSON,None,PROPERTY,ARSON,,No Coded,200,,A,1
INTOXICATION MANSLAUGHTER,,Unknown,,,PART2,,,false,,1
OTHER OFFENSES,,Anti Islamic (Muslim),,,PART2,,,false,,1
FRAUD,,Anti Jewish,,,PART2,,,false,,1
LOST PROPERTY,,Anti White,,,NOT CODED,,,false,,1
ROBBERY,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,1
FRAUD,COUNTERFEITING / FORGERY,,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,,A,1
ASSAULT,ASSAULT OFFENSES,Anti Arab,PERSON,SIMPLE ASSAULT,PART2,Coded,13B,false,A,1
OTHER OFFENSES,COUNTERFEITING / FORGERY,Unknown,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,1
THEFT,LARCENY/ THEFT OFFENSES,Anti White,PROPERTY,THEFT FROM MOTOR VEHICLE,PART1,Coded,23F,false,A,1
OTHER OFFENSES,FRAUD OFFENSES,,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,,A,1
DRUNK & DISORDERLY,PUBLIC INTOXICATION,Anti Other Ethnicity/Natl Origin,SOCIETY,PUBLIC INTOXICATION,PART2,90E - No Coded,90E,false,B,1
TRAFFIC,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,1
,TRAFFIC VIOLATION - NON HAZARDOUS,,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - NON HAZARDOUS,,999 - No Coded,999,,C,1
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Anti Arab,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,1
