ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,BUS (NYC TRANSIT),VIOLATION OF ORDER OF PROTECTI,0,7
DANGEROUS WEAPONS,FELONY,(null),N.Y. POLICE DEPT,PUBLIC BUILDING,CRIMINAL POSSESSION WEAPON,0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CONSTRUCTION SITE,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",0,7
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"BURGLARY,RESIDENCE,DAY",0,7
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,FAST FOOD,"LARCENY,PETIT FROM AUTO",0,7
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,MOBILE FOOD,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,MAILBOX INSIDE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",0,7
HARRASSMENT 2,VIOLATION,REAR OF,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"HARASSMENT,SUBD 3,4,5",0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"MARIJUANA, POSSESSION 1, 2 & 3",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,TAXI (LIVERY LICENSED),RESISTING ARREST,0,7
FELONY ASSAULT,FELONY,(null),N.Y. POLICE DEPT,STREET,ASSAULT SCHOOL SAFETY AGENT,0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,CRIMINAL CONTEMPT 1,0,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,GAS STATION,"LARCENY,PETIT FROM TRUCK",0,7
GRAND LARCENY,FELONY,(null),NYC PARKS,PARK/PLAYGROUND,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",88,7
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,BOOK/CARD,"LARCENY,PETIT FROM OPEN AREAS,",0,7
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,OTHER,"ROBBERY,UNLICENSED FOR HIRE VEHICLE",0,7
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,PETIT LARCENY OF ANIMAL,0,7
SEX CRIMES,MISDEMEANOR,(null),N.Y. POLICE DEPT,HOMELESS SHELTER,"SEXUAL ABUSE 3,2",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"PUBLIC ADMINISTATION,UNCLASS M",0,7
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,OTHER,HOMELESS SHELTER,"MISCHIEF,CRIMINAL,    UNCL 2ND",97,7
BURGLARY,FELONY,REAR OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"BURGLARY,COMMERCIAL,NIGHT",0,7
