ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
DANGEROUS DRUGS,FELONY,(null),N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE,POSSESS.",0,5590
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"BURGLARY,COMMERCIAL,NIGHT",0,5580
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,5545
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,OBSTR BREATH/CIRCUL,0,5538
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",0,5517
FELONY ASSAULT,FELONY,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,STRANGULATION 1ST,2,5500
FRAUDS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"FRAUD,UNCLASSIFIED-MISDEMEANOR",0,5480
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"PUBLIC ADMINISTATION,UNCLASS M",0,5445
RAPE,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,RAPE 1,0,5414
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,PETIT FROM AUTO",0,5375
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,AGGRAVATED HARASSMENT 2,0,5317
DANGEROUS DRUGS,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"CONTROLLED SUBSTANCE, POSSESSI",2,5297
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE",0,5275
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",0,5267
FELONY ASSAULT,FELONY,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"ASSAULT 2,1,UNCLASSIFIED",2,5266
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"LARCENY,PETIT FROM BUILDING,UN",0,5225
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"CRIMINAL MISCHIEF 4TH, GRAFFIT",1,5183
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,"LARCENY,PETIT FROM BUILDING,UN",0,5181
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",0,5150
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",0,5144
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF VEHICLE ACCES",0,5132
DANGEROUS WEAPONS,FELONY,(null),N.Y. POLICE DEPT,STREET,CRIMINAL POSSESSION WEAPON,0,5121
GRAND LARCENY OF MOTOR VEHICLE,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY, GRAND OF MOPED",0,5116
CRIMINAL MISCHIEF & RELATED OF,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"MISCHIEF, CRIMINAL 3 & 2, OF M",0,5095
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,5094
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",0,5088
OFFENSES AGAINST THE PERSON,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,RECKLESS ENDANGERMENT 2,0,5076
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,ASSAULT 3,0,5038
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),N.Y. POLICE DEPT,HIGHWAY/PARKWAY,LEAVING SCENE-ACCIDENT-PERSONA,0,5030
DANGEROUS WEAPONS,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"WEAPONS, POSSESSION, ETC",1,5015
GRAND LARCENY,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",1,4997
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"HARASSMENT,SUBD 1,CIVILIAN",0,4985
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"HARASSMENT,SUBD 3,4,5",0,4932
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,STREET,"HARASSMENT,SUBD 3,4,5",0,4904
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,VIOLATION OF ORDER OF PROTECTI,2,4887
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,4804
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT BY FALSE PROMISE",0,4773
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,RESISTING ARREST,0,4755
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",0,4730
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,OBSTR BREATH/CIRCUL,2,4701
SEX CRIMES,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"SEXUAL ABUSE 3,2",1,4669
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,ASSAULT 3,0,4668
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ROBBERY,RESIDENTIAL COMMON AREA",0,4660
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",0,4658
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,4648
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,"LARCENY,PETIT FROM BUILDING,UN",0,4623
OFFENSES INVOLVING FRAUD,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"FORGERY,ETC.-MISD.",0,4491
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,ASSAULT 3,0,4484
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"LARCENY,PETIT OF BICYCLE",0,4478
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,ASSAULT 3,0,4464
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",2,4419
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"CHILD, ENDANGERING WELFARE",0,4391
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,ASSAULT 3,0,4389
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",0,4348
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",0,4326
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM OPEN AREAS,",0,4313
MISCELLANEOUS PENAL LAW,FELONY,(null),N.Y. POLICE DEPT,STREET,CRIMINAL CONTEMPT 1,0,4288
ADMINISTRATIVE CODE,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ADM.CODE,UNCLASSIFIED MISDEMEA",0,4285
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",0,4273
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE,INTENT TO",0,4222
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT OF BICYCLE",0,4164
POSSESSION OF STOLEN PROPERTY,FELONY,(null),N.Y. POLICE DEPT,STREET,"STOLEN PROPERTY 2,1,POSSESSION",0,4121
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"ROBBERY,BEGIN AS SHOPLIFTING",0,4108
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,HOSPITAL,"HARASSMENT,SUBD 3,4,5",0,4076
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,"LARCENY,PETIT FROM OPEN AREAS,",0,4067
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,"LARCENY,PETIT FROM BUILDING,UN",0,3995
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT BY CREDIT CARD U",0,3993
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,AGGRAVATED HARASSMENT 2,0,3977
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,GYM/FITNESS FACILITY,"LARCENY,PETIT FROM BUILDING,UN",0,3928
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,OTHER,AGGRAVATED HARASSMENT 2,0,3914
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,OTHER,"HARASSMENT,SUBD 3,4,5",0,3910
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",0,3898
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,3886
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"ASSAULT 2,1,UNCLASSIFIED",0,3839
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"HARASSMENT,SUBD 1,CIVILIAN",0,3819
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"CRIMINAL MISCHIEF 4TH, GRAFFIT",2,3810
DANGEROUS WEAPONS,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,WEAPONS POSSESSION 3,1,3805
BURGLARY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"BURGLARY,RESIDENCE,UNKNOWN TIM",0,3736
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STORE UNCLASSIFIED,"LARCENY,PETIT FROM STORE-SHOPL",0,3702
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,OTHER,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,3690
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,PETIT FROM STORE-SHOPL",0,3676
OTHER STATE LAWS,FELONY,(null),N.Y. POLICE DEPT,STREET,"NY STATE LAWS,UNCLASSIFIED FEL",0,3652
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,3651
SEX CRIMES,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"SEXUAL ABUSE 3,2",0,3606
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,3603
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UN",0,3582
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,"HARASSMENT,SUBD 1,CIVILIAN",0,3580
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,MAILBOX OUTSIDE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,3578
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"MENACING,UNCLASSIFIED",0,3578
DANGEROUS WEAPONS,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,WEAPONS POSSESSION 3,0,3534
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"MISCHIEF, CRIMINAL 4, OF MOTOR",2,3528
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,OTHER,"HARASSMENT,SUBD 1,CIVILIAN",0,3508
FELONY ASSAULT,FELONY,(null),N.Y. POLICE DEPT,STREET,ASSAULT POLICE/PEACE OFFICER,0,3504
FELONY ASSAULT,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"ASSAULT 2,1,UNCLASSIFIED",1,3498
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,VIOLATION OF ORDER OF PROTECTI,0,3495
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"LARCENY,PETIT FROM BUILDING,UN",0,3475
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,STREET,ASSAULT 3,0,3460
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",0,3440
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"HARASSMENT,SUBD 1,CIVILIAN",2,3433
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"PUBLIC ADMINISTATION,UNCLASS M",0,3401
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,3397
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,"HARASSMENT,SUBD 1,CIVILIAN",0,3385
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,(null),N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"INTOXICATED DRIVING,ALCOHOL",0,3361
HARRASSMENT 2,VIOLATION,(null),N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"HARASSMENT,SUBD 3,4,5",0,3360
POSSESSION OF STOLEN PROPERTY,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"STOLEN PROPERTY 3,POSSESSION",0,3355
CRIMINAL TRESPASS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"TRESPASS 2, CRIMINAL",0,3347
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",0,3330
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"LARCENY,PETIT FROM BUILDING,UN",0,3318
CRIMINAL MISCHIEF & RELATED OF,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"MISCHIEF,CRIMINAL,    UNCL 2ND",0,3302
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,OTHER,ASSAULT 3,0,3293
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,3291
SEX CRIMES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,"SEXUAL ABUSE 3,2",0,3262
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF BICYCLE",0,3196
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"ASSAULT 2,1,UNCLASSIFIED",0,3193
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,RESISTING ARREST,1,3190
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",0,3183
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,DEPT OF CORRECTIONS,OTHER,"PUBLIC ADMINISTATION,UNCLASS M",72,3176
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,BAR/NIGHT CLUB,ASSAULT 3,0,3172
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,HOTEL/MOTEL,"LARCENY,PETIT FROM BUILDING,UN",0,3158
DANGEROUS DRUGS,MISDEMEANOR,FRONT OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"MARIJUANA, POSSESSION 4 & 5",2,3147
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,HOTEL/MOTEL,ASSAULT 3,0,3145
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,ASSAULT POLICE/PEACE OFFICER,0,3143
UNAUTHORIZED USE OF A VEHICLE,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,UNAUTHORIZED USE VEHICLE 3,0,3139
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,3127
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,DRUG STORE,"LARCENY,GRAND FROM STORE-SHOPL",0,3117
VEHICLE AND TRAFFIC LAWS,MISDEMEANOR,(null),PORT AUTHORITY,AIRPORT TERMINAL,"TRAFFIC,UNCLASSIFIED MISDEMEAN",3,3112
FRAUDS,MISDEMEANOR,(null),N.Y. POLICE DEPT,STREET,"IMPERSONATION 2, PUBLIC SERVAN",0,3108
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"MENACING,UNCLASSIFIED",0,3105
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"ASSAULT 2,1,UNCLASSIFIED",0,3105
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,STREET,RESISTING ARREST,0,3096
THEFT OF SERVICES,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,UNAUTH. SALE OF TRANS. SERVICE,1,3090
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"CHILD, ENDANGERING WELFARE",2,3087
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"HARASSMENT,SUBD 3,4,5",0,3080
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"ROBBERY,POCKETBOOK/CARRIED BAG",0,3079
DANGEROUS WEAPONS,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,CRIMINAL POSSESSION WEAPON,0,3068
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE,POSSESS.",0,3031
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,STREET,"LARCENY,GRAND FROM PERSON,PICK",0,3007
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",0,2968
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,HOTEL/MOTEL,"HARASSMENT,SUBD 3,4,5",0,2965
FORGERY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"FORGERY,M.V. REGISTRATION",0,2959
DANGEROUS DRUGS,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE, POSSESSI",0,2952
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"BURGLARY,TRUCK DAY",0,2926
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"MISCHIEF,CRIMINAL,    UNCL 2ND",2,2923
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"ROBBERY,HOME INVASION",0,2912
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",0,2909
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,ASSAULT 3,0,2906
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"CONTEMPT,CRIMINAL",2,2859
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STREET,ASSAULT 3,0,2855
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",0,2853
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,2851
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"ROBBERY,NECKCHAIN/JEWELRY",0,2845
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"BURGLARY,TRUCK NIGHT",0,2842
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,GROCERY/BODEGA,"HARASSMENT,SUBD 1,CIVILIAN",0,2827
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,STREET,"ROBBERY,POCKETBOOK/CARRIED BAG",0,2824
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,FAST FOOD,ASSAULT 3,0,2817
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",0,2785
DANGEROUS DRUGS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CONTROLLED SUBSTANCE, POSSESSI",0,2742
GRAND LARCENY,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",1,2735
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",0,2728
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,2721
DANGEROUS DRUGS,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,"CONTROLLED SUBSTANCE,SALE 3",0,2698
ROBBERY,FELONY,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"ROBBERY,RESIDENTIAL COMMON AREA",2,2695
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,PETIT FROM BUILDING,UN",0,2688
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PUBLIC SCHOOL,AGGRAVATED HARASSMENT 2,0,2685
ROBBERY,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",1,2682
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. TRANSIT POLICE,TRANSIT - NYC SUBWAY,CRIMINAL MIS 2 & 3,1,2677
DANGEROUS DRUGS,MISDEMEANOR,OPPOSITE OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"MARIJUANA, POSSESSION 4 & 5",2,2675
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",0,2674
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STREET,"LARCENY,PETIT FROM AUTO",0,2665
GRAND LARCENY OF MOTOR VEHICLE,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"LARCENY,GRAND OF AUTO",0,2660
