nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,offense_id,source_file_uri
Impersonation,26C,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7654946966,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7690899727,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Shoplifting,23C,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7674071680,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,7632253899,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7644557829,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Building,23D,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7687349389,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Weapon Law Violations,520,SOCIETY,WEAPON LAW VIOLATION,ALL OTHER,A,-,7695009515,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7628744012,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Impersonation,26C,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7635556875,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,-,7676475130,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7625795835,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
