nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,row_count
Kidnapping/Abduction,100,PERSON,KIDNAPPING/ABDUCTION,ALL OTHER,A,-,1637
Drug Equipment Violations,35B,SOCIETY,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),ALL OTHER,A,-,1610
Extortion/Blackmail,210,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,1298
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),1278
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),1235
Embezzlement,270,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,1180
-,-,-,UNKNOWN,ALL OTHER,-,Shots Fired (Eyewitness/Casings/Property Damage),1060
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,Shooting (Non-Fatal Injury),1053
Sodomy,11B,PERSON,RAPE,VIOLENT CRIME,A,-,790
Liquor Law Violations,90G,SOCIETY,LIQUOR LAW VIOLATIONS & DRUNKENNESS,ALL OTHER,B,-,712
Hacking/Computer Invasion,26G,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,646
Pornography/Obscene Material,370,SOCIETY,PORNOGRAPHY,ALL OTHER,A,-,575
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),556
Purse-snatching,23B,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,409
Curfew/Loitering/Vagrancy Violations,90B,SOCIETY,DISORDERLY CONDUCT & VAGRANCY VIOLATIONS,ALL OTHER,B,-,393
Sexual Assault With An Object,11C,PERSON,RAPE,VIOLENT CRIME,A,-,351
Murder & Nonnegligent Manslaughter,09A,PERSON,HOMICIDE,VIOLENT CRIME,A,Shooting (Fatal Injury),283
Animal Cruelty,720,SOCIETY,ANIMAL CRUELTY,ALL OTHER,A,-,281
Purchasing Prostitution,40C,SOCIETY,PROSTITUTION OFFENSES,ALL OTHER,A,-,275
Not Reportable to NIBRS,999,NOT_A_CRIME,999,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),264
Theft From Coin-Operated Machine or Device,23E,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,220
-,-,-,UNKNOWN,ALL OTHER,-,Shooting (Non-Fatal Injury),194
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),170
Assisting or Promoting Prostitution,40B,SOCIETY,PROSTITUTION OFFENSES,ALL OTHER,A,-,161
Murder & Nonnegligent Manslaughter,09A,PERSON,HOMICIDE,VIOLENT CRIME,A,-,151
Peeping Tom,90H,SOCIETY,SEX OFFENSES,ALL OTHER,B,-,146
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,Shooting (Non-Fatal Injury),138
Weapon Law Violations,520,SOCIETY,WEAPON LAW VIOLATION,ALL OTHER,A,Shooting (Non-Fatal Injury),107
Statutory Rape,36B,PERSON,SEX OFFENSES,ALL OTHER,A,-,103
"Human Trafficking, Commercial Sex Acts",64A,PERSON,HUMAN TRAFFICKING,ALL OTHER,A,-,98
Not Reportable to NIBRS,999,NOT_A_CRIME,999,ALL OTHER,B,Shooting (Non-Fatal Injury),97
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,Shooting (Non-Fatal Injury),94
Welfare Fraud,26D,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,80
-,-,-,UNKNOWN,ALL OTHER,-,Shooting (Fatal Injury),58
Aggravated Assault,13A,PERSON,AGGRAVATED ASSAULT,VIOLENT CRIME,A,Shooting (Fatal Injury),55
Stolen Property Offenses,280,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),44
